# Reff, density
0.000000000000000000e+00 0.000000000000000000e+00
9.100554257566403349e-01 3.472581771260802150e+08
6.985651194950590614e-01 7.421228540925744772e+08
7.065603298162461687e-01 6.445006306844619513e+08
0.000000000000000000e+00 0.000000000000000000e+00
5.265091497945965093e-01 6.713173461198384762e+08
4.666391364801453778e-01 7.157155777052642107e+08
3.767370743864428273e-01 6.504201225399229527e+08
0.000000000000000000e+00 0.000000000000000000e+00
2.577748145420132864e-01 6.444641886140338182e+08
3.002516261327106140e-01 6.989403929511544704e+08
1.635576091571016577e-01 6.626077256686425209e+08
0.000000000000000000e+00 0.000000000000000000e+00
9.422455228251735981e-02 6.669810308801512718e+08
1.868791901090264274e-01 6.935399713315144777e+08
4.642824442039347049e-02 6.462338629258941412e+08
0.000000000000000000e+00 0.000000000000000000e+00
1.862057015770758259e-02 6.513288761894251108e+08
1.060193017323204090e-01 7.005440981647739410e+08
8.919688041581663729e-03 6.468191060994009972e+08
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
6.246721850349379324e-02 6.976338547456094027e+08
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
4.077403850224903259e-02 6.995381138696637154e+08
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
4.094213661900344969e-02 7.036839686616224051e+08
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
2.292218763527515552e-02 6.970056987328534126e+08
0.000000000000000000e+00 0.000000000000000000e+00
7.957200959070548363e-02 7.077493957849330902e+08
7.148567203553835014e-02 7.409599913657120466e+08
1.678658794909386742e-01 7.229056239178582430e+08
0.000000000000000000e+00 0.000000000000000000e+00
8.198406472908317255e-01 4.088245150449779034e+08
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00
