idx_sel_plas_points;plasma_x;plasma_y;plasma_z;total_intensity_fraction
57394;-3936.7;4775.6;-247.8;6.481267094758118e-06
57493;-3914.9;4741.7;-258.2;4.368528015043957e-06
57666;-3876.8;4682.4;-279.1;8.759789106960485e-07
60769;-3928.2;4781.1;-247.8;1.2250315482130252e-05
60794;-3922.7;4772.6;-247.8;1.3783602335347034e-05
60795;-3922.7;4772.6;-237.4;1.1962390024718875e-05
60845;-3911.8;4755.7;-237.4;8.251668469437628e-06
60871;-3906.4;4747.2;-227.0;5.939711016273101e-06
60945;-3890.1;4721.8;-237.4;5.028749182096166e-06
60967;-3884.6;4713.3;-268.7;4.610515495170988e-06
60968;-3884.6;4713.3;-258.2;5.483441937234749e-06
61018;-3873.7;4696.3;-258.2;3.986083322864039e-06
61069;-3862.8;4679.4;-247.8;7.1157742488116315e-06
61093;-3857.4;4670.9;-258.2;5.289401176566574e-06
61095;-3857.4;4670.9;-237.4;2.233768440960106e-06
61144;-3846.5;4653.9;-247.8;4.449967774464379e-06
61145;-3846.5;4653.9;-237.4;2.3152312361350362e-06
61193;-3835.6;4637.0;-258.2;4.421320829907836e-06
61218;-3830.2;4628.5;-258.2;4.043954923870955e-06
61243;-3824.7;4620.0;-258.2;2.2287123445652787e-06
61265;-3819.3;4611.6;-289.5;1.4884677687874878e-06
61267;-3819.3;4611.6;-268.7;2.48319360412884e-06
64142;-3919.6;4786.6;-268.7;1.2761344597016763e-05
64143;-3919.6;4786.6;-258.2;1.338230456538757e-05
64144;-3919.6;4786.6;-247.8;1.820704518794572e-05
64169;-3914.2;4778.1;-247.8;2.0857008057692812e-05
64170;-3914.2;4778.1;-237.4;1.7389737056305155e-05
64171;-3914.2;4778.1;-227.0;7.585536894772124e-06
64246;-3897.9;4752.7;-227.0;8.428889013021124e-06
64269;-3892.4;4744.2;-247.8;1.2802162866433155e-05
64271;-3892.4;4744.2;-227.0;8.904005422631782e-06
64296;-3887.0;4735.7;-227.0;8.444180600416879e-06
64316;-3881.5;4727.2;-279.1;5.4359083725905e-06
64322;-3881.5;4727.2;-216.6;3.595694687232067e-06
64395;-3865.2;4701.8;-237.4;7.033481959028932e-06
64417;-3859.8;4693.3;-268.7;7.79254782723171e-06
64422;-3859.8;4693.3;-216.6;9.598832523438256e-07
64442;-3854.3;4684.8;-268.7;7.239975930132857e-06
64443;-3854.3;4684.8;-258.2;1.0891215409321277e-05
64447;-3854.3;4684.8;-216.6;2.3521538408556366e-07
64471;-3848.9;4676.4;-227.0;1.6059381715564255e-06
64494;-3843.4;4667.9;-247.8;1.1776109233694064e-05
64516;-3838.0;4659.4;-279.1;6.0754460114859255e-06
64517;-3838.0;4659.4;-268.7;9.133500612042734e-06
64542;-3832.5;4650.9;-268.7;8.758265077445625e-06
64543;-3832.5;4650.9;-258.2;1.0516033805695765e-05
64567;-3827.1;4642.5;-268.7;1.0067015773111897e-05
64593;-3821.7;4634.0;-258.2;9.301907986457132e-06
64594;-3821.7;4634.0;-247.8;4.652980958690945e-06
64618;-3816.2;4625.5;-258.2;5.9171965255197986e-06
64666;-3805.3;4608.6;-279.1;3.855561234069292e-06
64667;-3805.3;4608.6;-268.7;4.085526178892615e-06
64690;-3799.9;4600.1;-289.5;3.652712554633234e-06
64696;-3799.9;4600.1;-227.0;2.4413532453436516e-06
64719;-3794.4;4591.6;-247.8;3.461994253370825e-06
64742;-3789.0;4583.1;-268.7;4.140314541003357e-06
64745;-3789.0;4583.1;-237.4;2.7768823613387377e-06
64746;-3789.0;4583.1;-227.0;1.1972171102049036e-06
64817;-3772.7;4557.7;-268.7;4.77866578368563e-06
64842;-3767.2;4549.2;-268.7;4.420806127181727e-06
64892;-3756.3;4532.3;-268.7;3.7229131975986633e-06
64916;-3750.9;4523.8;-279.1;3.3814963865475835e-06
64964;-3740.0;4506.8;-299.9;1.2085847900380513e-06
65040;-3723.7;4481.4;-289.5;7.363967598263713e-07
65070;-3718.2;4472.9;-237.4;2.9282245326632257e-07
67519;-3911.1;4792.1;-247.8;2.3973995917766267e-05
67520;-3911.1;4792.1;-237.4;2.8784250076012487e-05
67545;-3905.7;4783.6;-237.4;2.342405408087163e-05
67546;-3905.7;4783.6;-227.0;1.0147479250204315e-05
67569;-3900.2;4775.1;-247.8;2.704775115041297e-05
67570;-3900.2;4775.1;-237.4;2.0622383848449767e-05
67591;-3894.8;4766.6;-279.1;3.048999887897584e-06
67592;-3894.8;4766.6;-268.7;1.0903347776454408e-05
67594;-3894.8;4766.6;-247.8;2.6396285580609283e-05
67617;-3889.3;4758.1;-268.7;9.332972774956178e-06
67618;-3889.3;4758.1;-258.2;2.2224346361619452e-05
67619;-3889.3;4758.1;-247.8;2.538008148019074e-05
67621;-3889.3;4758.1;-227.0;9.747638834351233e-06
67643;-3883.9;4749.7;-258.2;2.4365580258795784e-05
67644;-3883.9;4749.7;-247.8;1.7718665513598422e-05
67692;-3873.0;4732.7;-268.7;1.1383810033300967e-05
67743;-3862.1;4715.8;-258.2;1.0622599668195159e-05
67767;-3856.7;4707.3;-268.7;1.0451099268315138e-05
67792;-3851.2;4698.8;-268.7;1.220918518070827e-05
67816;-3845.8;4690.3;-279.1;1.1783047470378843e-05
67819;-3845.8;4690.3;-247.8;1.7785514112432246e-05
67843;-3840.4;4681.8;-258.2;1.5267971684865007e-05
67869;-3834.9;4673.4;-247.8;1.7510485604863216e-05
67893;-3829.5;4664.9;-258.2;1.692670273179985e-05
67918;-3824.0;4656.4;-258.2;1.6415343197161484e-05
67942;-3818.6;4647.9;-268.7;1.5567875622852107e-05
67943;-3818.6;4647.9;-258.2;1.5575857357708875e-05
67967;-3813.1;4639.5;-268.7;1.507762353602662e-05
67968;-3813.1;4639.5;-258.2;1.4562589049506596e-05
67969;-3813.1;4639.5;-247.8;7.828176754281476e-06
67992;-3807.7;4631.0;-268.7;1.2361190441701194e-05
67995;-3807.7;4631.0;-237.4;7.140263614859299e-06
68019;-3802.3;4622.5;-247.8;6.901047495416498e-06
68040;-3796.8;4614.0;-289.5;6.655100456005804e-06
68043;-3796.8;4614.0;-258.2;6.6656200217931225e-06
68089;-3785.9;4597.1;-299.9;2.658523380960442e-06
68095;-3785.9;4597.1;-237.4;6.054927171579395e-06
68120;-3780.5;4588.6;-237.4;5.2183310888115564e-06
68139;-3775.0;4580.1;-299.9;9.544702090482533e-07
68169;-3769.6;4571.6;-247.8;5.244519211724509e-06
68216;-3758.7;4554.7;-279.1;7.781752211259061e-06
68217;-3758.7;4554.7;-268.7;9.34249813306551e-06
68218;-3758.7;4554.7;-258.2;9.345887817947373e-06
68242;-3753.3;4546.2;-268.7;8.941881835622305e-06
68264;-3747.8;4537.7;-299.9;2.6291955306348917e-06
68265;-3747.8;4537.7;-289.5;4.269446833183583e-06
68267;-3747.8;4537.7;-268.7;8.547067009040057e-06
68268;-3747.8;4537.7;-258.2;5.495484219174476e-06
68291;-3742.4;4529.2;-279.1;7.850906325392727e-06
68393;-3720.6;4495.3;-258.2;3.039569881210261e-06
68439;-3709.7;4478.4;-299.9;2.684604693481182e-06
68443;-3709.7;4478.4;-258.2;2.68937044815965e-06
68494;-3698.8;4461.4;-247.8;1.7620519628993102e-06
68642;-3666.2;4410.6;-268.7;1.1196492045498574e-06
68715;-3649.8;4385.1;-289.5;6.821861944918366e-07
70893;-3902.6;4797.5;-258.2;2.360193373332892e-05
70894;-3902.6;4797.5;-247.8;3.0139402316854833e-05
70895;-3902.6;4797.5;-237.4;3.3782539688174246e-05
70897;-3902.6;4797.5;-216.6;7.18346576091946e-06
70918;-3897.2;4789.0;-258.2;2.334609852505516e-05
70920;-3897.2;4789.0;-237.4;2.9145769414923182e-05
70942;-3891.7;4780.6;-268.7;1.4691835694337221e-05
70967;-3886.3;4772.1;-268.7;1.3131302716171317e-05
70968;-3886.3;4772.1;-258.2;2.766645167425353e-05
70992;-3880.8;4763.6;-268.7;1.1454426343946628e-05
70993;-3880.8;4763.6;-258.2;2.8889311508996333e-05
70994;-3880.8;4763.6;-247.8;3.2139925872195046e-05
71018;-3875.4;4755.1;-258.2;2.9525464336984006e-05
71021;-3875.4;4755.1;-227.0;1.369973667018983e-05
71040;-3869.9;4746.7;-289.5;1.2403717830709496e-06
71041;-3869.9;4746.7;-279.1;9.981125475934928e-06
71043;-3869.9;4746.7;-258.2;2.2193985703645353e-05
71045;-3869.9;4746.7;-237.4;1.652582589957365e-05
71067;-3864.5;4738.2;-268.7;1.4668037211491769e-05
71072;-3864.5;4738.2;-216.6;3.8124917214062064e-06
71093;-3859.0;4729.7;-258.2;1.6109579949833773e-05
71116;-3853.6;4721.2;-279.1;1.3832526508244805e-05
71118;-3853.6;4721.2;-258.2;1.3849531223790235e-05
71145;-3848.2;4712.7;-237.4;1.3368636626596254e-05
71168;-3842.7;4704.3;-258.2;1.8490162796503194e-05
71171;-3842.7;4704.3;-227.0;8.060803552804441e-06
71194;-3837.3;4695.8;-247.8;2.2474133336675145e-05
71195;-3837.3;4695.8;-237.4;1.2256097050888838e-05
71216;-3831.8;4687.3;-279.1;1.1135447200040646e-05
71219;-3831.8;4687.3;-247.8;2.449055562885628e-05
71220;-3831.8;4687.3;-237.4;1.1072526126735477e-05
71221;-3831.8;4687.3;-227.0;5.207123755144527e-06
71242;-3826.4;4678.8;-268.7;1.8770992111064073e-05
71243;-3826.4;4678.8;-258.2;2.3600540658593888e-05
71268;-3820.9;4670.4;-258.2;2.3025430077892682e-05
71269;-3820.9;4670.4;-247.8;1.8947212762923504e-05
71290;-3815.5;4661.9;-289.5;4.525941252888988e-06
71293;-3815.5;4661.9;-258.2;2.211842389095879e-05
71317;-3810.1;4653.4;-268.7;2.1552712043446513e-05
71319;-3810.1;4653.4;-247.8;1.380945648433736e-05
71341;-3804.6;4644.9;-279.1;1.0328600565934916e-05
71345;-3804.6;4644.9;-237.4;8.214826251615942e-06
71367;-3799.2;4636.4;-268.7;1.580961631076716e-05
71368;-3799.2;4636.4;-258.2;1.3429955520067374e-05
71391;-3793.7;4628.0;-279.1;9.631983569064422e-06
71393;-3793.7;4628.0;-258.2;1.0375469143108918e-05
71395;-3793.7;4628.0;-237.4;9.594926388518603e-06
71415;-3788.3;4619.5;-289.5;9.368680903580122e-06
71420;-3788.3;4619.5;-237.4;9.392127084027715e-06
71464;-3777.4;4602.5;-299.9;2.728885849072916e-06
71465;-3777.4;4602.5;-289.5;9.085764989997415e-06
71468;-3777.4;4602.5;-258.2;7.340559184693626e-06
71491;-3772.0;4594.1;-279.1;1.1284144446481739e-05
71515;-3766.5;4585.6;-289.5;8.390284701101775e-06
71517;-3766.5;4585.6;-268.7;1.344327088593169e-05
71542;-3761.1;4577.1;-268.7;1.304958892766872e-05
71543;-3761.1;4577.1;-258.2;1.5666380581889908e-05
71592;-3750.2;4560.2;-268.7;1.4422191432297958e-05
71617;-3744.7;4551.7;-268.7;1.3973638787030617e-05
71666;-3733.9;4534.7;-279.1;1.2784062012544732e-05
71668;-3733.9;4534.7;-258.2;7.659255826210526e-06
71689;-3728.4;4526.2;-299.9;5.711507632999813e-06
71693;-3728.4;4526.2;-258.2;6.184546954835188e-06
71715;-3723.0;4517.8;-289.5;5.8155699272195405e-06
71716;-3723.0;4517.8;-279.1;7.143891605780588e-06
71717;-3723.0;4517.8;-268.7;7.438478439267544e-06
71718;-3723.0;4517.8;-258.2;4.3931725371316615e-06
71768;-3712.1;4500.8;-258.2;5.415906400698845e-06
71790;-3706.6;4492.3;-289.5;5.460726799472653e-06
71794;-3706.6;4492.3;-247.8;5.070259518596558e-06
71819;-3701.2;4483.9;-247.8;4.875274155555231e-06
71844;-3695.7;4475.4;-247.8;4.683123914638591e-06
71845;-3695.7;4475.4;-237.4;2.764994863183179e-06
71867;-3690.3;4466.9;-268.7;8.982393440080714e-06
71916;-3679.4;4449.9;-279.1;7.955436125841244e-06
71917;-3679.4;4449.9;-268.7;7.958984690932165e-06
71942;-3674.0;4441.5;-268.7;7.600437574868251e-06
71944;-3674.0;4441.5;-247.8;1.0186226610526325e-06
72013;-3657.6;4416.0;-310.3;3.1346364201075368e-06
72015;-3657.6;4416.0;-289.5;5.375067923000422e-06
72066;-3646.8;4399.1;-279.1;2.8072043265760652e-06
72091;-3641.3;4390.6;-279.1;2.316127531728875e-06
72115;-3635.9;4382.1;-289.5;3.1725939954963857e-06
72116;-3635.9;4382.1;-279.1;1.6570344798467784e-06
72166;-3625.0;4365.2;-279.1;3.086386786134867e-06
72169;-3625.0;4365.2;-247.8;1.9961225918562276e-06
