idx;x [m];y [m];z [m];Reff [m]
122;-4.0242;4.5933;-0.2791;NaN
123;-4.0242;4.5933;-0.2624;NaN
124;-4.0242;4.5933;-0.2458;NaN
125;-4.0242;4.5933;-0.2291;NaN
126;-4.0242;4.5933;-0.2124;NaN
127;-4.0242;4.5933;-0.1958;NaN
128;-4.016;4.5805;-0.4458;NaN
129;-4.016;4.5805;-0.4291;NaN
130;-4.016;4.5805;-0.4124;NaN
131;-4.016;4.5805;-0.3958;NaN
132;-4.016;4.5805;-0.3791;NaN
133;-4.016;4.5805;-0.3624;NaN
134;-4.016;4.5805;-0.3458;NaN
135;-4.016;4.5805;-0.3291;NaN
136;-4.016;4.5805;-0.3124;NaN
137;-4.016;4.5805;-0.2958;NaN
138;-4.016;4.5805;-0.2791;NaN
139;-4.016;4.5805;-0.2624;NaN
140;-4.016;4.5805;-0.2458;NaN
141;-4.016;4.5805;-0.2291;NaN
142;-4.016;4.5805;-0.2124;NaN
143;-4.016;4.5805;-0.1958;NaN
144;-4.0078;4.5677;-0.4458;NaN
145;-4.0078;4.5677;-0.4291;NaN
146;-4.0078;4.5677;-0.4124;NaN
147;-4.0078;4.5677;-0.3958;NaN
148;-4.0078;4.5677;-0.3791;NaN
149;-4.0078;4.5677;-0.3624;NaN
150;-4.0078;4.5677;-0.3458;NaN
151;-4.0078;4.5677;-0.3291;NaN
152;-4.0078;4.5677;-0.3124;NaN
153;-4.0078;4.5677;-0.2958;NaN
154;-4.0078;4.5677;-0.2791;NaN
155;-4.0078;4.5677;-0.2624;NaN
156;-4.0078;4.5677;-0.2458;NaN
157;-4.0078;4.5677;-0.2291;NaN
158;-4.0078;4.5677;-0.2124;0.534
159;-4.0078;4.5677;-0.1958;0.525
160;-3.9996;4.555;-0.4458;NaN
161;-3.9996;4.555;-0.4291;NaN
162;-3.9996;4.555;-0.4124;NaN
163;-3.9996;4.555;-0.3958;NaN
164;-3.9996;4.555;-0.3791;NaN
165;-3.9996;4.555;-0.3624;NaN
166;-3.9996;4.555;-0.3458;NaN
167;-3.9996;4.555;-0.3291;NaN
168;-3.9996;4.555;-0.3124;NaN
169;-3.9996;4.555;-0.2958;NaN
170;-3.9996;4.555;-0.2791;NaN
171;-3.9996;4.555;-0.2624;0.537
172;-3.9996;4.555;-0.2458;0.527
173;-3.9996;4.555;-0.2291;0.517
174;-3.9996;4.555;-0.2124;0.508
175;-3.9996;4.555;-0.1958;0.499
176;-3.9914;4.5422;-0.4458;NaN
177;-3.9914;4.5422;-0.4291;NaN
178;-3.9914;4.5422;-0.4124;NaN
179;-3.9914;4.5422;-0.3958;NaN
180;-3.9914;4.5422;-0.3791;NaN
181;-3.9914;4.5422;-0.3624;NaN
182;-3.9914;4.5422;-0.3458;NaN
183;-3.9914;4.5422;-0.3291;NaN
184;-3.9914;4.5422;-0.3124;NaN
185;-3.9914;4.5422;-0.2958;0.533
186;-3.9914;4.5422;-0.2791;0.522
187;-3.9914;4.5422;-0.2624;0.512
188;-3.9914;4.5422;-0.2458;0.501
189;-3.9914;4.5422;-0.2291;0.491
190;-3.9914;4.5422;-0.2124;0.482
191;-3.9914;4.5422;-0.1958;0.472
192;-3.9832;4.5295;-0.4458;NaN
193;-3.9832;4.5295;-0.4291;NaN
194;-3.9832;4.5295;-0.4124;NaN
195;-3.9832;4.5295;-0.3958;NaN
196;-3.9832;4.5295;-0.3791;NaN
197;-3.9832;4.5295;-0.3624;NaN
198;-3.9832;4.5295;-0.3458;NaN
199;-3.9832;4.5295;-0.3291;0.531
200;-3.9832;4.5295;-0.3124;0.519
201;-3.9832;4.5295;-0.2958;0.508
202;-3.9832;4.5295;-0.2791;0.497
203;-3.9832;4.5295;-0.2624;0.486
204;-3.9832;4.5295;-0.2458;0.475
205;-3.9832;4.5295;-0.2291;0.465
206;-3.9832;4.5295;-0.2124;0.455
207;-3.9832;4.5295;-0.1958;0.446
208;-3.975;4.5167;-0.4458;NaN
209;-3.975;4.5167;-0.4291;NaN
210;-3.975;4.5167;-0.4124;NaN
211;-3.975;4.5167;-0.3958;NaN
212;-3.975;4.5167;-0.3791;NaN
213;-3.975;4.5167;-0.3624;0.53
214;-3.975;4.5167;-0.3458;0.518
215;-3.975;4.5167;-0.3291;0.506
216;-3.975;4.5167;-0.3124;0.494
217;-3.975;4.5167;-0.2958;0.482
218;-3.975;4.5167;-0.2791;0.471
219;-3.975;4.5167;-0.2624;0.46
220;-3.975;4.5167;-0.2458;0.449
221;-3.975;4.5167;-0.2291;0.438
222;-3.975;4.5167;-0.2124;0.428
223;-3.975;4.5167;-0.1958;0.419
224;-3.9668;4.5039;-0.4458;NaN
225;-3.9668;4.5039;-0.4291;NaN
226;-3.9668;4.5039;-0.4124;NaN
227;-3.9668;4.5039;-0.3958;0.531
228;-3.9668;4.5039;-0.3791;0.518
229;-3.9668;4.5039;-0.3624;0.505
230;-3.9668;4.5039;-0.3458;0.493
231;-3.9668;4.5039;-0.3291;0.48
232;-3.9668;4.5039;-0.3124;0.468
233;-3.9668;4.5039;-0.2958;0.456
234;-3.9668;4.5039;-0.2791;0.444
235;-3.9668;4.5039;-0.2624;0.433
236;-3.9668;4.5039;-0.2458;0.422
237;-3.9668;4.5039;-0.2291;0.412
238;-3.9668;4.5039;-0.2124;0.401
239;-3.9668;4.5039;-0.1958;0.392
240;-3.9586;4.4912;-0.4458;NaN
241;-3.9586;4.4912;-0.4291;0.534
242;-3.9586;4.4912;-0.4124;0.52
243;-3.9586;4.4912;-0.3958;0.507
244;-3.9586;4.4912;-0.3791;0.493
245;-3.9586;4.4912;-0.3624;0.48
246;-3.9586;4.4912;-0.3458;0.467
247;-3.9586;4.4912;-0.3291;0.454
248;-3.9586;4.4912;-0.3124;0.442
249;-3.9586;4.4912;-0.2958;0.43
250;-3.9586;4.4912;-0.2791;0.418
251;-3.9586;4.4912;-0.2624;0.406
252;-3.9586;4.4912;-0.2458;0.395
253;-3.9586;4.4912;-0.2291;0.385
254;-3.9586;4.4912;-0.2124;0.375
255;-3.9586;4.4912;-0.1958;0.366
256;-3.9504;4.4784;-0.4458;0.525
257;-3.9504;4.4784;-0.4291;0.51
258;-3.9504;4.4784;-0.4124;0.496
259;-3.9504;4.4784;-0.3958;0.482
260;-3.9504;4.4784;-0.3791;0.468
261;-3.9504;4.4784;-0.3624;0.455
262;-3.9504;4.4784;-0.3458;0.442
263;-3.9504;4.4784;-0.3291;0.429
264;-3.9504;4.4784;-0.3124;0.416
265;-3.9504;4.4784;-0.2958;0.404
266;-3.9504;4.4784;-0.2791;0.392
267;-3.9504;4.4784;-0.2624;0.38
268;-3.9504;4.4784;-0.2458;0.369
269;-3.9504;4.4784;-0.2291;0.359
270;-3.9504;4.4784;-0.2124;0.349
271;-3.9504;4.4784;-0.1958;0.34
272;-3.9422;4.4656;-0.4458;0.501
273;-3.9422;4.4656;-0.4291;0.486
274;-3.9422;4.4656;-0.4124;0.471
275;-3.9422;4.4656;-0.3958;0.457
276;-3.9422;4.4656;-0.3791;0.443
277;-3.9422;4.4656;-0.3624;0.43
278;-3.9422;4.4656;-0.3458;0.416
279;-3.9422;4.4656;-0.3291;0.403
280;-3.9422;4.4656;-0.3124;0.39
281;-3.9422;4.4656;-0.2958;0.378
282;-3.9422;4.4656;-0.2791;0.366
283;-3.9422;4.4656;-0.2624;0.354
284;-3.9422;4.4656;-0.2458;0.343
285;-3.9422;4.4656;-0.2291;0.333
286;-3.9422;4.4656;-0.2124;0.323
287;-3.9422;4.4656;-0.1958;0.314
288;-3.934;4.4529;-0.4458;0.477
289;-3.934;4.4529;-0.4291;0.462
290;-3.934;4.4529;-0.4124;0.447
291;-3.934;4.4529;-0.3958;0.432
292;-3.934;4.4529;-0.3791;0.418
293;-3.934;4.4529;-0.3624;0.404
294;-3.934;4.4529;-0.3458;0.391
295;-3.934;4.4529;-0.3291;0.377
296;-3.934;4.4529;-0.3124;0.364
297;-3.934;4.4529;-0.2958;0.352
298;-3.934;4.4529;-0.2791;0.34
299;-3.934;4.4529;-0.2624;0.328
300;-3.934;4.4529;-0.2458;0.317
301;-3.934;4.4529;-0.2291;0.307
302;-3.934;4.4529;-0.2124;0.297
303;-3.934;4.4529;-0.1958;0.288
304;-3.9258;4.4401;-0.4458;0.453
305;-3.9258;4.4401;-0.4291;0.437
306;-3.9258;4.4401;-0.4124;0.423
307;-3.9258;4.4401;-0.3958;0.408
308;-3.9258;4.4401;-0.3791;0.394
309;-3.9258;4.4401;-0.3624;0.379
310;-3.9258;4.4401;-0.3458;0.366
311;-3.9258;4.4401;-0.3291;0.352
312;-3.9258;4.4401;-0.3124;0.339
313;-3.9258;4.4401;-0.2958;0.326
314;-3.9258;4.4401;-0.2791;0.314
315;-3.9258;4.4401;-0.2624;0.303
316;-3.9258;4.4401;-0.2458;0.292
317;-3.9258;4.4401;-0.2291;0.281
318;-3.9258;4.4401;-0.2124;0.272
319;-3.9258;4.4401;-0.1958;0.263
320;-3.9176;4.4273;-0.4458;0.429
321;-3.9176;4.4273;-0.4291;0.414
322;-3.9176;4.4273;-0.4124;0.399
323;-3.9176;4.4273;-0.3958;0.384
324;-3.9176;4.4273;-0.3791;0.369
325;-3.9176;4.4273;-0.3624;0.355
326;-3.9176;4.4273;-0.3458;0.341
327;-3.9176;4.4273;-0.3291;0.327
328;-3.9176;4.4273;-0.3124;0.314
329;-3.9176;4.4273;-0.2958;0.301
330;-3.9176;4.4273;-0.2791;0.289
331;-3.9176;4.4273;-0.2624;0.277
332;-3.9176;4.4273;-0.2458;0.266
333;-3.9176;4.4273;-0.2291;0.256
334;-3.9176;4.4273;-0.2124;0.247
335;-3.9176;4.4273;-0.1958;0.239
336;-3.9094;4.4146;-0.4458;0.406
337;-3.9094;4.4146;-0.4291;0.39
338;-3.9094;4.4146;-0.4124;0.375
339;-3.9094;4.4146;-0.3958;0.36
340;-3.9094;4.4146;-0.3791;0.345
341;-3.9094;4.4146;-0.3624;0.33
342;-3.9094;4.4146;-0.3458;0.316
343;-3.9094;4.4146;-0.3291;0.302
344;-3.9094;4.4146;-0.3124;0.289
345;-3.9094;4.4146;-0.2958;0.276
346;-3.9094;4.4146;-0.2791;0.264
347;-3.9094;4.4146;-0.2624;0.252
348;-3.9094;4.4146;-0.2458;0.241
349;-3.9094;4.4146;-0.2291;0.231
350;-3.9094;4.4146;-0.2124;0.222
351;-3.9094;4.4146;-0.1958;0.214
352;-3.9012;4.4018;-0.4458;0.383
353;-3.9012;4.4018;-0.4291;0.367
354;-3.9012;4.4018;-0.4124;0.351
355;-3.9012;4.4018;-0.3958;0.336
356;-3.9012;4.4018;-0.3791;0.321
357;-3.9012;4.4018;-0.3624;0.306
358;-3.9012;4.4018;-0.3458;0.292
359;-3.9012;4.4018;-0.3291;0.278
360;-3.9012;4.4018;-0.3124;0.264
361;-3.9012;4.4018;-0.2958;0.251
362;-3.9012;4.4018;-0.2791;0.239
363;-3.9012;4.4018;-0.2624;0.227
364;-3.9012;4.4018;-0.2458;0.217
365;-3.9012;4.4018;-0.2291;0.207
366;-3.9012;4.4018;-0.2124;0.198
367;-3.9012;4.4018;-0.1958;0.19
368;-3.893;4.3891;-0.4458;0.36
369;-3.893;4.3891;-0.4291;0.344
370;-3.893;4.3891;-0.4124;0.328
371;-3.893;4.3891;-0.3958;0.313
372;-3.893;4.3891;-0.3791;0.297
373;-3.893;4.3891;-0.3624;0.282
374;-3.893;4.3891;-0.3458;0.268
375;-3.893;4.3891;-0.3291;0.254
376;-3.893;4.3891;-0.3124;0.24
377;-3.893;4.3891;-0.2958;0.227
378;-3.893;4.3891;-0.2791;0.214
379;-3.893;4.3891;-0.2624;0.203
380;-3.893;4.3891;-0.2458;0.192
381;-3.893;4.3891;-0.2291;0.182
382;-3.893;4.3891;-0.2124;0.173
383;-3.893;4.3891;-0.1958;0.166
384;-3.8848;4.3763;-0.4458;0.338
385;-3.8848;4.3763;-0.4291;0.321
386;-3.8848;4.3763;-0.4124;0.305
387;-3.8848;4.3763;-0.3958;0.29
