!      r     n_20m3_e      T_keV_e      T_keV_H
0.000000000000000000e+00 9.810110994006234764e-01 1.350369666332678298e+00 1.442978406933346669e+00
5.300000000000000544e-02 9.651135299621171892e-01 1.324416173523743412e+00 1.406092037564290687e+00
7.495331880577403572e-02 9.490977809691046874e-01 1.297259169850886185e+00 1.376186855169080347e+00
9.179869280115050822e-02 9.330242581553126469e-01 1.268759705155700690e+00 1.348404182777064531e+00
1.060000000000000109e-01 9.169527552840610607e-01 1.238816471370004946e+00 1.321731050439830080e+00
1.185116028074888611e-01 9.009424818831920367e-01 1.207566419303627514e+00 1.295872800469487940e+00
1.298229563675084297e-01 8.850487470460893791e-01 1.175518925338159493e+00 1.270550465736032919e+00
1.402248194864233188e-01 8.693196644849996435e-01 1.143292729377129335e+00 1.245464868224460009e+00
1.499066376115480714e-01 8.538008895501166817e-01 1.111490334285699877e+00 1.220344897094514103e+00
1.590000000000000024e-01 8.385373909504207912e-01 1.080639489113079055e+00 1.194991135751400702e+00
1.676007159889241205e-01 8.235681292794529984e-01 1.051140987910436975e+00 1.169289515328838069e+00
1.757811138888361879e-01 8.089240200765462907e-01 1.023242477142105367e+00 1.143198974405904789e+00
1.835973856023010164e-01 7.946266073036910571e-01 9.970498814913543173e-01 1.116726560883461561e+00
1.910942175995914705e-01 7.806875856518645795e-01 9.725609322265582612e-01 1.089906314468043647e+00
1.983078414990189220e-01 7.671245465643363737e-01 9.497684607929499645e-01 1.062774359482330899e+00
2.052681173489931121e-01 7.539743408831990346e-01 9.287102799919770835e-01 1.035368076969610751e+00
2.120000000000000218e-01 7.411880868888564011e-01 9.090751330197164304e-01 1.007774573536253548e+00
2.185245981577360330e-01 7.288478638080584382e-01 8.910422248950996549e-01 9.800246441757215488e-01
2.248599564173221210e-01 7.168697359372695477e-01 8.741962732214371146e-01 9.522059836501327590e-01
2.310216440076557076e-01 7.053200718963190674e-01 8.586176304682513472e-01 9.243745617527659997e-01
2.370232056149777222e-01 6.941514813730896849e-01 8.440350003412551150e-01 8.965952951335112164e-01
2.428765118326595418e-01 6.833448373710991897e-01 8.302758128521637859e-01 8.689235262118375491e-01
2.485920352706417757e-01 6.729611642034741825e-01 8.173093732587216609e-01 8.414581737134601003e-01
2.541790707355741641e-01 6.629293876047328560e-01 8.048549047160881154e-01 8.142390646629589224e-01
2.596459127350168594e-01 6.532413643320125196e-01 7.927750382703312448e-01 7.873318805066448212e-01
2.650000000000000133e-01 6.438899564260439634e-01 7.809454909850757076e-01 7.608084582560963316e-01
2.702480342204176544e-01 6.349112462631941733e-01 7.692655060819150181e-01 7.348207837069458126e-01
2.753960784034515386e-01 6.262473951958132945e-01 7.576249966320569573e-01 7.093912762068999012e-01
2.804496389728466377e-01 6.178891662555332509e-01 7.459691766115201794e-01 6.846041983540332998e-01
2.854137347781287026e-01 6.098269704894984100e-01 7.342652216375944452e-01 6.605442676683360714e-01
2.902929554777380350e-01 6.020509802758525764e-01 7.224990439962281075e-01 6.372937230527937480e-01
2.950915112299911658e-01 5.945512306730537100e-01 7.106709115777801733e-01 6.149290154995157298e-01
2.998132752230961429e-01 5.873177085050326207e-01 6.987908103870494880e-01 5.935174710089884398e-01
3.044618202665155260e-01 5.803404292528309139e-01 6.868742645050078810e-01 5.731143059761184544e-01
3.090404504268009500e-01 5.736095021317637599e-01 6.749390343064181064e-01 5.537603380988058710e-01
3.135522285042796620e-01 5.671151839801953365e-01 6.630028271991957878e-01 5.354806351844954015e-01
3.180000000000000049e-01 5.608479227739845419e-01 6.510819451936772362e-01 5.182842028883615226e-01
3.223864141058056521e-01 5.547983917128046505e-01 6.391906799104274395e-01 5.021646630916922760e-01
3.267139421573557745e-01 5.489575149071109772e-01 6.273412329356427009e-01 4.871017495747247961e-01
3.309848939151151526e-01 5.433164857334874531e-01 6.155439583153261562e-01 4.730633692743110297e-01
3.352014319778482410e-01 5.378667789284061751e-01 6.038077662443362970e-01 4.600079534074412169e-01
