!      r     n_20m3_e      T_keV_e      T_keV_H
0.000000000000000000e+00 1.230966983198126474e+00 1.600871516259489979e+00 1.734504821129217333e+00
5.300000000000000544e-02 1.205304456694139770e+00 1.568046342630074141e+00 1.693207851316635759e+00
7.495331880577403572e-02 1.179252315953847496e+00 1.533722591953629033e+00 1.659940984485404503e+00
9.179869280115050822e-02 1.152952084540992406e+00 1.497993662877658672e+00 1.629373355607216745e+00
1.060000000000000109e-01 1.126547574492362314e+00 1.460965549996209312e+00 1.600396578011921367e+00
1.185116028074888611e-01 1.100175234035789318e+00 1.422923410912132702e+00 1.572783261681286016e+00
1.298229563675084297e-01 1.073965559824946459e+00 1.384396690822103038e+00 1.546245997215850432e+00
1.402248194864233188e-01 1.048029865635985880e+00 1.345922437787583359e+00 1.520327461996589635e+00
1.499066376115480714e-01 1.022469998224140530e+00 1.307970436801913605e+00 1.494496810802762976e+00
1.590000000000000024e-01 9.973825716307865852e-01 1.270918143178651816e+00 1.468278956197710761e+00
1.676007159889241205e-01 9.728495675244835938e-01 1.235022919213840886e+00 1.441336576305918937e+00
1.757811138888361879e-01 9.489343896549529145e-01 1.200416443549725765e+00 1.413488071241470134e+00
1.835973856023010164e-01 9.256797649950420093e-01 1.167124080853319423e+00 1.384672211134889253e+00
1.910942175995914705e-01 9.031076043227406203e-01 1.135097297793553395e+00 1.354903121280436329e+00
1.983078414990189220e-01 8.812497112209562999e-01 1.104291698297144242e+00 1.324200266149044847e+00
2.052681173489931121e-01 8.601729159681918979e-01 1.074697640934579645e+00 1.292559834998536106e+00
2.120000000000000218e-01 8.397817041149374662e-01 1.046077845359614011e+00 1.260161253280390747e+00
2.185245981577360330e-01 8.202262748964017636e-01 1.018546074475590313e+00 1.226920560976564545e+00
2.248599564173221210e-01 8.013456959142231106e-01 9.918302048823236516e-01 1.193063533616979921e+00
2.310216440076557076e-01 7.832593573545069132e-01 9.660251196422779962e-01 1.158557324214842810e+00
2.370232056149777222e-01 7.658755427854397890e-01 9.410009408466433189e-01 1.123552606883309490e+00
2.428765118326595418e-01 7.491556608732917732e-01 9.167111012429940420e-01 1.088153994617483189e+00
2.485920352706417757e-01 7.332074397760451889e-01 8.932935113465448884e-01 1.052421443084059494e+00
2.541790707355741641e-01 7.178977823092286270e-01 8.706300073684467566e-01 1.016542600834420274e+00
2.596459127350168594e-01 7.032090763186752413e-01 8.487379940736352602e-01 9.806601059769318729e-01
2.650000000000000133e-01 6.891257363902201227e-01 8.276405506444469706e-01 9.449369732864540961e-01
2.702480342204176544e-01 6.757094177931963763e-01 8.074717742506262175e-01 9.096307365966932457e-01
2.753960784034515386e-01 6.628539718578885243e-01 7.881238750494037326e-01 8.749089035996906460e-01
2.804496389728466377e-01 6.505407629452577556e-01 7.695963241834065105e-01 8.409734635777394995e-01
2.854137347781287026e-01 6.387507337689456444e-01 7.518779822403662827e-01 8.080217621032320663e-01
2.902929554777380350e-01 6.274646059993399527e-01 7.349480544302123830e-01 7.762367831050726030e-01
2.950915112299911658e-01 6.166630563586866787e-01 7.187780550057548679e-01 7.457781801259697474e-01
2.998132752230961429e-01 6.063268684439018230e-01 7.033342468581901263e-01 7.167751921608398469e-01
3.044618202665155260e-01 5.964370610639593284e-01 6.885800639306371984e-01 6.893222549118294129e-01
3.090404504268009500e-01 5.869749943204042308e-01 6.744781636309271633e-01 6.634776370160934134e-01
3.135522285042796620e-01 5.779224549967707514e-01 6.609919246026237927e-01 6.392649222109898499e-01
3.180000000000000049e-01 5.692617230629331004e-01 6.480863496394387857e-01 6.166767489036660832e-01
3.223864141058056521e-01 5.609756212530185859e-01 6.357284302237461437e-01 5.956799891014691317e-01
3.267139421573557745e-01 5.530475497521716299e-01 6.238870783513613683e-01 5.762215156634384883e-01
3.309848939151151526e-01 5.454615080382474446e-01 6.125327462967321557e-01 5.582338312750870779e-01
3.352014319778482410e-01 5.382021058828619919e-01 6.016368517905534841e-01 5.416400460885217871e-01
3.393655845839410046e-01 5.312545654302882614e-01 5.911711170542213178e-01 5.263579246287600766e-01
3.434792570156166014e-01 5.246047161551563587e-01 5.811069213406485634e-01 5.123029260097764492e-01
3.475442417880060253e-01 5.182389843573099730e-01 5.714147581012215538e-01 4.993903093430955287e-01
3.515622277776723759e-01 5.121443786931180187e-01 5.620638753327824588e-01 4.875364642374646618e-01
3.555348084224665972e-01 5.063084730733697914e-01 5.530221553814218538e-01 4.766596630762190978e-01
3.594634891056392445e-01 5.007193880832738753e-01 5.442562552059555525e-01 4.666804305491190075e-01
3.633496938212553706e-01 4.953657719045159169e-01 5.357319826702180432e-01 4.575216991949727641e-01
3.671947712046020329e-01 4.902367815459175993e-01 5.274148395058242400e-01 4.491088771566223437e-01
3.709999999999999964e-01 4.853220650205465891e-01 5.192706331030285671e-01 4.413699034011837607e-01
3.747665940288702480e-01 4.806526772800954750e-01 5.112857003647135468e-01 4.343429357798117008e-01
3.784957067127710517e-01 4.761781274538463005e-01 5.033942509759833372e-01 4.278282504668291519e-01
3.821884351991829409e-01 4.718890978168801542e-01 4.955667509801834347e-01 4.217572647965361354e-01
3.858458241318674653e-01 4.677767010183158658e-01 4.877773759225444983e-01 4.160649166126141885e-01
3.894688691025253724e-01 4.638324694673652271e-01 4.800040041994139695e-01 4.106900437051417274e-01
3.930585198160701510e-01 4.600497245746209551e-01 4.722277835329805051e-01 4.055772709059701775e-01
3.966156829980378440e-01 4.564639681528104842e-01 4.644214866950672205e-01 4.007077843750062041e-01
4.001412250693497930e-01 4.530214452156330340e-01 4.565777959323648050e-01 3.959580249311507871e-01
4.036359746107871516e-01 4.497149268348130668e-01 4.486912565574873724e-01 3.912852212487564207e-01
4.071007246370362820e-01 4.465375696994656196e-01 4.407583870747452948e-01 3.866519191308528391e-01
4.105362346979862243e-01 4.434930126085184221e-01 4.327729540029458533e-01 3.820215156660781708e-01
4.139432328230526759e-01 4.405999057198349833e-01 4.247236919560413715e-01 3.773360369888905663e-01
4.173224173226260381e-01 4.378142247434335665e-01 4.166289833647955354e-01 3.725765092534678025e-01
4.206744584592699288e-01 4.351302689509481403e-01 4.084920851333099789e-01 3.677281815835674594e-01
4.240000000000000435e-01 4.325427208583693672e-01 4.003161648073429446e-01 3.627786820534372181e-01
4.272996606598231661e-01 4.300890542541432882e-01 3.920907433482654358e-01 3.576499771292280250e-01
4.305740354457059382e-01 4.277176042207054829e-01 3.838389078721933245e-01 3.523905901182091127e-01
4.338236969092398865e-01 4.254238055945712693e-01 3.755642290284793572e-01 3.470002076197244989e-01
4.370491963154720660e-01 4.232101091628201472e-01 3.672685972399509224e-01 3.414653000242168224e-01
4.402510647346580264e-01 4.210958424900048680e-01 3.589539110068366012e-01 3.357327910632829093e-01
4.434298140630600904e-01 4.190419621244170223e-01 3.506319924296965040e-01 3.298717912473823066e-01
4.465859379783470029e-01 4.170450592231579878e-01 3.423050684207501471e-01 3.238866083920603489e-01
4.497199128346442421e-01 4.151216577141514930e-01 3.339769039322705302e-01 3.177334507329364066e-01
4.528321985018291529e-01 4.132569039480014084e-01 3.256543489595685736e-01 3.114385700657251177e-01
4.559232391532592188e-01 4.114342040655068478e-01 3.173389729871883280e-01 3.050391067671923140e-01
4.589934640057524717e-01 4.096579499212160691e-01 3.090345542209300134e-01 2.985213001074532579e-01
4.620432880153114152e-01 4.079348055930518968e-01 3.007524348829693217e-01 2.918606258153985111e-01
4.650731125317825176e-01 4.062404413132303937e-01 2.924880638326125548e-01 2.851188816046845709e-01
4.680833259153758807e-01 4.045745444465436713e-01 2.842429281724844770e-01 2.782958655108882517e-01
4.710743041177262724e-01 4.029490428943673375e-01 2.760404622660218577e-01 2.713492630479628631e-01
4.740464112299554444e-01 4.013407642837369393e-01 2.678660793568845566e-01 2.643455881330266655e-01
4.770000000000000351e-01 3.997490071047727911e-01 2.597193170377466442e-01 2.572868635963837525e-01
4.799354123212831169e-01 3.981810010431349189e-01 2.516388672572066332e-01 2.501394267637701008e-01
4.828529796946478547e-01 3.966204167360239952e-01 2.435977104620999922e-01 2.429588653737261850e-01
4.857530236653190836e-01 3.950674632469476366e-01 2.355969534970868973e-01 2.357442463401273891e-01
