!      r     n_20m3_e      T_keV_e      T_keV_H
0.000000000000000000e+00 9.097529890090297888e-01 1.418926933080985053e+00 1.417831546924436914e+00
5.300000000000000544e-02 9.007222309881759426e-01 1.369388239743646540e+00 1.380496313022524735e+00
7.495331880577403572e-02 8.912545441709383010e-01 1.324466312335645046e+00 1.350891720796130624e+00
9.179869280115050822e-02 8.813560757011321689e-01 1.282192104377795516e+00 1.323555464086275890e+00
1.060000000000000109e-01 8.710652555607659719e-01 1.241979216153739740e+00 1.297342828580143825e+00
1.185116028074888611e-01 8.604180530245956193e-01 1.203700834194702196e+00 1.271889324089908957e+00
1.298229563675084297e-01 8.494779146505538892e-01 1.167233478106111555e+00 1.246868087421996618e+00
1.402248194864233188e-01 8.383087577311891803e-01 1.132494064704631098e+00 1.221969704570608606e+00
1.499066376115480714e-01 8.269717121968923612e-01 1.099447120820902457e+00 1.196949018171224788e+00
1.590000000000000024e-01 8.155261647594048702e-01 1.068095850735815144e+00 1.171656554037113995e+00
1.676007159889241205e-01 8.040320829831032468e-01 1.038431419200135375e+00 1.146036421647431025e+00
1.757811138888361879e-01 7.925458162193863565e-01 1.010421056899987624e+00 1.120098289583037809e+00
1.835973856023010164e-01 7.811166550881810666e-01 9.840009067988821911e-01 1.093884871652082813e+00
1.910942175995914705e-01 7.697844940390243806e-01 9.590782384842296837e-01 1.067449996445630989e+00
1.983078414990189220e-01 7.585853967374455165e-01 9.355944534339950547e-01 1.040842299946904026e+00
2.052681173489931121e-01 7.475633993046147951e-01 9.135467752851772483e-01 1.014110843858185174e+00
2.120000000000000218e-01 7.367177904063092475e-01 8.926633239665557884e-01 9.873181934572519136e-01
2.185245981577360330e-01 7.261106833141370842e-01 8.730863235921418886e-01 9.605098445196634804e-01
2.248599564173221210e-01 7.157122106700992692e-01 8.544840983172860005e-01 9.337338053635380053e-01
2.310216440076557076e-01 7.055753179033312783e-01 8.369455060714281469e-01 9.070476281602088964e-01
2.370232056149777222e-01 6.956825686196242975e-01 8.202777050957942295e-01 8.804891639418317428e-01
2.428765118326595418e-01 6.860304391685545511e-01 8.043749468150488413e-01 8.540964433947640932e-01
2.485920352706417757e-01 6.766693193079571511e-01 7.892890177701125110e-01 8.279617089916050388e-01
2.541790707355741641e-01 6.675575248021023977e-01 7.748198059430383422e-01 8.021035782260697022e-01
2.596459127350168594e-01 6.586946988339885678e-01 7.609010857113970294e-01 7.765777160285683989e-01
2.650000000000000133e-01 6.500804115356002555e-01 7.474727085488976908e-01 7.514477954239997537e-01
2.702480342204176544e-01 6.417465393546444297e-01 7.345310421585079519e-01 7.268594125524669991e-01
2.753960784034515386e-01 6.336534946456547912e-01 7.219582942896640709e-01 7.028291188018646052e-01
2.804496389728466377e-01 6.257972205220901918e-01 7.097128169945898790e-01 6.794379819079247040e-01
2.854137347781287026e-01 6.181729232033205124e-01 6.977597627449243500e-01 6.567683383042364209e-01
2.902929554777380350e-01 6.107752072035237401e-01 6.860708360515976878e-01 6.349004696580394791e-01
2.950915112299911658e-01 6.035981998516127822e-01 6.746236025176737261e-01 6.139089414053106042e-01
2.998132752230961429e-01 5.966356642109049702e-01 6.634005285330852875e-01 5.938590111783311754e-01
3.044618202665155260e-01 5.898810999160961632e-01 6.523879309395352877e-01 5.748035267947229077e-01
3.090404504268009500e-01 5.833278318329556678e-01 6.415749798805472359e-01 5.567806647921038632e-01
3.135522285042796620e-01 5.769690867708748838e-01 6.309528422410541904e-01 5.398127260012562934e-01
3.180000000000000049e-01 5.707980587416108254e-01 6.205139983567226070e-01 5.239060371222186152e-01
3.223864141058056521e-01 5.648079634617677591e-01 6.102517237837842279e-01 5.090518466942884901e-01
3.267139421573557745e-01 5.589920829476113795e-01 6.001597049569578068e-01 4.952279844343179804e-01
3.309848939151151526e-01 5.533438011535020129e-01 5.902317506658498747e-01 4.824009934704825975e-01
3.352014319778482410e-01 5.478566316666239056e-01 5.804615659311528342e-01 4.705284460694295623e-01
3.393655845839410046e-01 5.425242384964671372e-01 5.708425661944129814e-01 4.595612011226349880e-01
3.434792570156166014e-01 5.373404509939836426e-01 5.613677235009152389e-01 4.494454349414341299e-01
3.475442417880060253e-01 5.322992739076222168e-01 5.520294489933710302e-01 4.401243552107333978e-01
3.515622277776723759e-01 5.273948935366576940e-01 5.428195244865983149e-01 4.315395758988039288e-01
3.555348084224665972e-01 5.226216808799284408e-01 5.337290977303676964e-01 4.236321800482596989e-01
3.594634891056392445e-01 5.179741926042664701e-01 5.247487500821443884e-01 4.163435252533249642e-01
3.633496938212553706e-01 5.134471705734668934e-01 5.158686329202905041e-01 4.096158550046991587e-01
3.671947712046020329e-01 5.090355405884091633e-01 5.070786543676673030e-01 4.033927720005531792e-01
3.709999999999999964e-01 5.047344108932294571e-01 4.983686870101034505e-01 3.976196121776797154e-01
3.747665940288702480e-01 5.005603632471681275e-01 4.897407157449510939e-01 3.923123963852153118e-01
3.784957067127710517e-01 4.964876671611911929e-01 4.811696251128023682e-01 3.873320018474900039e-01
3.821884351991829409e-01 4.925117682769247773e-01 4.726465194685184890e-01 3.826277353050506203e-01
3.858458241318674653e-01 4.886282834637361572e-01 4.641636357530868340e-01 3.781521034711012308e-01
3.894688691025253724e-01 4.848330014323014581e-01 4.557143506260276644e-01 3.738609997418353426e-01
3.930585198160701510e-01 4.811226107799198570e-01 4.472933168171492335e-01 3.697145787110811543e-01
3.966156829980378440e-01 4.775160472520770250e-01 4.389016833729055267e-01 3.656876511765050908e-01
4.001412250693497930e-01 4.739851326747426818e-01 4.305292936690037209e-01 3.617056473911689496e-01
4.036359746107871516e-01 4.705261159489995126e-01 4.221748829061280350e-01 3.577396500343636432e-01
4.071007246370362820e-01 4.671354245971646169e-01 4.138377635261425991e-01 3.537645712875653881e-01
4.105362346979862243e-01 4.638150133418363352e-01 4.055193019550006883e-01 3.497529921351564819e-01
4.139432328230526759e-01 4.605747244443279542e-01 3.972254060955051069e-01 3.456578604892957540e-01
4.173224173226260381e-01 4.573911913583875721e-01 3.889521972024859164e-01 3.414783035721755122e-01
4.206744584592699288e-01 4.542613245531687549e-01 3.807009855552273003e-01 3.372053035179457536e-01
4.240000000000000435e-01 4.511822403690878835e-01 3.724729512882253291e-01 3.328314381987305115e-01
4.272996606598231661e-01 4.481733604465621967e-01 3.642845203888405159e-01 3.282892220427417462e-01
4.305740354457059382e-01 4.452073109662453843e-01 3.561258424699775271e-01 3.236283314783505727e-01
4.338236969092398865e-01 4.422815471071036564e-01 3.479979937695956149e-01 3.188496397005125549e-01
4.370491963154720660e-01 4.393971335432587666e-01 3.399053335790257480e-01 3.139423338254086482e-01
4.402510647346580264e-01 4.365634170899860278e-01 3.318653374539181078e-01 3.088613065070327512e-01
4.434298140630600904e-01 4.337600399070000723e-01 3.238630387255340692e-01 3.036680289371511687e-01
