!      r     n_20m3_e      T_keV_e      T_keV_H
0.000000000000000000e+00 1.102086115423352108e+00 1.368433495892092733e+00 1.446703616324802821e+00
5.300000000000000544e-02 1.081612607741227805e+00 1.330330591012430341e+00 1.409249950081614466e+00
7.495331880577403572e-02 1.060742812208411934e+00 1.293698306622421912e+00 1.379665016460345672e+00
9.179869280115050822e-02 1.039590400725286523e+00 1.257936662778422088e+00 1.352579411075497173e+00
1.060000000000000109e-01 1.018276427280810248e+00 1.222993073055632651e+00 1.326871009516130018e+00
1.185116028074888611e-01 9.969146159973778509e-01 1.189002076118629958e+00 1.302263339254985608e+00
1.298229563675084297e-01 9.756185696998320722e-01 1.156053553959527358e+00 1.278484247422968290e+00
1.402248194864233188e-01 9.544861534073406650e-01 1.124192235111146410e+00 1.255187808470968225e+00
1.499066376115480714e-01 9.336064764569098617e-01 1.093448199429119416e+00 1.232013904358248979e+00
1.590000000000000024e-01 9.130634152593943842e-01 1.063852004727184442e+00 1.208659341051397051e+00
1.676007159889241205e-01 8.929290328294162693e-01 1.035415758092563587e+00 1.184913058397849772e+00
1.757811138888361879e-01 8.732599883595641987e-01 1.008134086615317004e+00 1.160658123511731477e+00
1.835973856023010164e-01 8.540955888170154164e-01 9.819834361826043079e-01 1.135848943247063314e+00
1.910942175995914705e-01 8.354575778823755128e-01 9.569232625748225196e-01 1.110487472954606814e+00
1.983078414990189220e-01 8.173741920933360605e-01 9.329413451657272427e-01 1.084585050701869946e+00
2.052681173489931121e-01 7.999005349175476454e-01 9.100786092604732369e-01 1.058151117956645404e+00
2.120000000000000218e-01 7.829638458505181475e-01 8.881621691682610731e-01 1.031307450188967856e+00
2.185245981577360330e-01 7.666833914094978164e-01 8.673661659536109347e-01 1.004051535827406916e+00
2.248599564173221210e-01 7.509336676370651498e-01 8.474585665181081362e-01 9.765406367017154254e-01
2.310216440076557076e-01 7.358091380355727962e-01 8.285884185100801380e-01 9.488307477091018072e-01
2.370232056149777222e-01 7.212378551564733176e-01 8.106348071628330931e-01 9.210444713221733748e-01
2.428765118326595418e-01 7.071894546137729165e-01 7.935491045627666162e-01 8.932800559269643559e-01
2.485920352706417757e-01 6.937486048590369991e-01 7.774728085181314974e-01 8.656719729516196837e-01
2.541790707355741641e-01 6.808102325338645233e-01 7.622267843832696288e-01 8.383100704235616485e-01
2.596459127350168594e-01 6.683601411731650010e-01 7.477758076763220130e-01 8.112930208285659139e-01
2.650000000000000133e-01 6.563856748436412980e-01 7.340788866912401067e-01 7.847201126111736924e-01
2.702480342204176544e-01 6.449346966259276170e-01 7.211735541385775328e-01 7.587767783063271709e-01
2.753960784034515386e-01 6.339233548799355633e-01 7.088906529161626002e-01 7.334854163588099274e-01
2.804496389728466377e-01 6.233365341286840611e-01 6.971658702917872263e-01 7.089323923809059957e-01
2.854137347781287026e-01 6.131587932361804993e-01 6.859340815283159198e-01 6.851977011948995333e-01
2.902929554777380350e-01 6.033745316815605220e-01 6.751322623574441684e-01 6.623535466151494466e-01
2.950915112299911658e-01 5.939681348528346172e-01 6.647017100351848562e-01 6.404629780863940747e-01
2.998132752230961429e-01 5.849240986918857743e-01 6.545893895321128753e-01 6.195786444011494032e-01
3.044618202665155260e-01 5.762271344687990293e-01 6.447484177771259928e-01 5.997417278110388494e-01
3.090404504268009500e-01 5.678622548165691564e-01 6.351378384273512756e-01 5.809811159560469562e-01
3.135522285042796620e-01 5.598148424222578745e-01 6.257219067002477431e-01 5.633128564508199654e-01
3.180000000000000049e-01 5.520707029541502830e-01 6.164691096085738176e-01 5.467399231291303341e-01
3.223864141058056521e-01 5.446161039165029472e-01 6.073511152059808405e-01 5.312523072073271901e-01
3.267139421573557745e-01 5.374378011723771609e-01 5.983417983767682635e-01 5.168274332580946595e-01
3.309848939151151526e-01 5.305230548720407668e-01 5.894164457853179329e-01 5.034308895725616573e-01
3.352014319778482410e-01 5.238596364781236137e-01 5.805512052141978963e-01 4.910174544162548838e-01
3.393655845839410046e-01 5.174358284987292667e-01 5.717228140109968937e-01 4.795323920481017188e-01
3.434792570156166014e-01 5.112404184337249191e-01 5.629086135094535370e-01 4.689129831729453302e-01
3.475442417880060253e-01 5.052626883148839676e-01 5.540868268579768330e-01 4.590902424140312910e-01
3.515622277776723759e-01 4.994924010832804129e-01 5.452370454774093655e-01 4.499907605216255102e-01
3.555348084224665972e-01 4.939197849021992326e-01 5.363408381386877144e-01 4.415385933332569568e-01
