!      r     n_20m3_e      T_keV_e      T_keV_H
0.000000000000000000e+00 7.711930037970680107e-01 1.302100440217171640e+00 1.271294266213920165e+00
5.300000000000000544e-02 7.638939530623480856e-01 1.268157646729050736e+00 1.237227467936470759e+00
7.495331880577403572e-02 7.566342506424130754e-01 1.238426266590710867e+00 1.210663970673272472e+00
9.179869280115050822e-02 7.494309405298689164e-01 1.210454237277402756e+00 1.186117511683489889e+00
1.060000000000000109e-01 7.422964098976487790e-01 1.183166014270473854e+00 1.162423787104519990e+00
1.185116028074888611e-01 7.352439978781982743e-01 1.156042328410794795e+00 1.139160263256886685e+00
1.298229563675084297e-01 7.282814067781883116e-01 1.128916369389557195e+00 1.116033212756272652e+00
1.402248194864233188e-01 7.214140511717437310e-01 1.101865358113384818e+00 1.092876645492006249e+00
1.499066376115480714e-01 7.146470967869412716e-01 1.075078074483810653e+00 1.069652977820099160e+00
1.590000000000000024e-01 7.079858309843020114e-01 1.048780744849432622e+00 1.046429252397307330e+00
1.676007159889241205e-01 7.014334271903784890e-01 1.023180481103290296e+00 1.023329584179446305e+00
1.757811138888361879e-01 6.949909587212054207e-01 9.984299803434036891e-01 1.000483763408147153e+00
1.835973856023010164e-01 6.886575347151842053e-01 9.746157314377160708e-01 9.779950288205483400e-01
1.910942175995914705e-01 6.824305353304113142e-01 9.517644580052735392e-01 9.559294249356072859e-01
1.983078414990189220e-01 6.763100713663403596e-01 9.298974794002745625e-01 9.343388175883725610e-01
2.052681173489931121e-01 6.703016487114131783e-01 9.090644143376109820e-01 9.132848668472921538e-01
2.120000000000000218e-01 6.643888876597071613e-01 8.891010846153416525e-01 8.927039630819837424e-01
2.185245981577360330e-01 6.585901055516822922e-01 8.701481281065506224e-01 8.726922172440342296e-01
2.248599564173221210e-01 6.528818100798375879e-01 8.519737330862625635e-01 8.531295093931527962e-01
2.310216440076557076e-01 6.472787857952122526e-01 8.346763535698736858e-01 8.340802449526333318e-01
2.370232056149777222e-01 6.417681562657431282e-01 8.181221461623451319e-01 8.154709815133275308e-01
2.428765118326595418e-01 6.363445112588822505e-01 8.022435763663396946e-01 7.972656427636302112e-01
2.485920352706417757e-01 6.310218824828870421e-01 7.871163821646471881e-01 7.795160364677752307e-01
2.541790707355741641e-01 6.257830308107613648e-01 7.725818069492815798e-01 7.621340285308961793e-01
2.596459127350168594e-01 6.206259998908607578e-01 7.585971694312424463e-01 7.451034927451832823e-01
2.650000000000000133e-01 6.155492403533043833e-01 7.451213414746583608e-01 7.284120032741283612e-01
2.702480342204176544e-01 6.105617560219422923e-01 7.321703893552578002e-01 7.120932918392742783e-01
2.753960784034515386e-01 6.056501979689370430e-01 7.196299539114354715e-01 6.960910294577121737e-01
2.804496389728466377e-01 6.008129093038769852e-01 7.074603507179668682e-01 6.804009495898434290e-01
2.854137347781287026e-01 5.960482247154305080e-01 6.956246042217502090e-01 6.650217920057639454e-01
2.902929554777380350e-01 5.913544799221301940e-01 6.840891964290601868e-01 6.499553810587642699e-01
2.950915112299911658e-01 5.867300196663549627e-01 6.728244402868588381e-01 6.352065296925667459e-01
2.998132752230961429e-01 5.821732043376720567e-01 6.618044927420597690e-01 6.207827397373204548e-01
3.044618202665155260e-01 5.776824153225607050e-01 6.510070822051263750e-01 6.066936906448557876e-01
3.090404504268009500e-01 5.732560591843268716e-01 6.404130522767053080e-01 5.929505384657289824e-01
3.135522285042796620e-01 5.688925707805005949e-01 6.300058219463148257e-01 5.795650783818354634e-01
3.180000000000000049e-01 5.645904154261183194e-01 6.197708430437199878e-01 5.665488494575356970e-01
3.223864141058056521e-01 5.603480902109346795e-01 6.096951101268787143e-01 5.539122721483324963e-01
3.267139421573557745e-01 5.561641245772618314e-01 5.997667544229863257e-01 5.416639036486707859e-01
3.309848939151151526e-01 5.520370802636519469e-01 5.899747356950976185e-01 5.298098746004000770e-01
3.352014319778482410e-01 5.479655507183217589e-01 5.803086342658168029e-01 5.183535389813448413e-01
3.393655845839410046e-01 5.439481600853722787e-01 5.707585381964119797e-01 5.072953355888967231e-01
3.434792570156166014e-01 5.399835618667143677e-01 5.613150155513222384e-01 4.966328322945525731e-01
3.475442417880060253e-01 5.360704373629494590e-01 5.519691569759378469e-01 4.863609080255526518e-01
3.515622277776723759e-01 5.322074939973625574e-01 5.427126687893775170e-01 4.764720231649501314e-01
3.555348084224665972e-01 5.283934636282725528e-01 5.335379921165523953e-01 4.669565344332149981e-01
3.594634891056392445e-01 5.246271009555989462e-01 5.244384210953102476e-01 4.578030212954070088e-01
3.633496938212553706e-01 5.209071821277049263e-01 5.154081951016876717e-01 4.489986033801841026e-01
3.671947712046020329e-01 5.172325036532969822e-01 5.064425474681329975e-01 4.405292390771111677e-01
3.709999999999999964e-01 5.136018817200855846e-01 4.975377052552782398e-01 4.323800025153570203e-01
3.747665940288702480e-01 5.100230164898013063e-01 4.887029043744535173e-01 4.245953924539602187e-01
3.784957067127710517e-01 5.064863461524674593e-01 4.799254940868704078e-01 4.170966372189302551e-01
3.821884351991829409e-01 5.029906978411848861e-01 4.712051780447381044e-01 4.098655368654288700e-01
3.858458241318674653e-01 4.995349139817088502e-01 4.625422287669848087e-01 4.028838436519551758e-01
3.894688691025253724e-01 4.961178538079209499e-01 4.539372907235387222e-01 3.961334800772138287e-01
3.930585198160701510e-01 4.927387285372362702e-01 4.453917932035348359e-01 3.895984676198576691e-01
3.966156829980378440e-01 4.894071973613274285e-01 4.369262524711787221e-01 3.833119549901786716e-01
4.001412250693497930e-01 4.861112697314215469e-01 4.285248531049627996e-01 3.771938926379563850e-01
4.036359746107871516e-01 4.828498136399306806e-01 4.201884363544476364e-01 3.712267799935752843e-01
4.071007246370362820e-01 4.796217220158617844e-01 4.119175548041812962e-01 3.653942265667936007e-01
4.105362346979862243e-01 4.764286653461120569e-01 4.037184693855813689e-01 3.596894008095254947e-01
4.139432328230526759e-01 4.732768106736763847e-01 3.956085082237187356e-01 3.541112898270908360e-01
4.173224173226260381e-01 4.701550310093084994e-01 3.875664447346843233e-01 3.486098782824252895e-01
4.206744584592699288e-01 4.670622482648706941e-01 3.795913911456593737e-01 3.431730742257003697e-01
4.240000000000000435e-01 4.639974315313167286e-01 3.716823620715907772e-01 3.377899924662062237e-01
4.272996606598231661e-01 4.609727841810581928e-01 3.638715649390337759e-01 3.324613075563117026e-01
4.305740354457059382e-01 4.579736867713982140e-01 3.561252261018668097e-01 3.271531554791595742e-01
4.338236969092398865e-01 4.549991311548546302e-01 3.484416314196147613e-01 3.218587030891254530e-01
4.370491963154720660e-01 4.520504014535436932e-01 3.408250759297739019e-01 3.165713167630107017e-01
4.402510647346580264e-01 4.491349989801928788e-01 3.332974241242878666e-01 3.112761232609056461e-01
4.434298140630600904e-01 4.462405989213895086e-01 3.258271926128494811e-01 3.059668680583981226e-01
4.465859379783470029e-01 4.433663274182860770e-01 3.184125630354409098e-01 3.006407041908367161e-01
4.497199128346442421e-01 4.405189077944252074e-01 3.110737280086180445e-01 2.952825769240739473e-01
4.528321985018291529e-01 4.376939890955882095e-01 3.038004870854783546e-01 2.898873619605998875e-01
4.559232391532592188e-01 4.348856905190801592e-01 2.965767057759121084e-01 2.844606076603932165e-01
4.589934640057524717e-01 4.320962136863337744e-01 2.894098756684212459e-01 2.789942757686394992e-01
4.620432880153114152e-01 4.293296512493500194e-01 2.823155423299520406e-01 2.734692032087827074e-01
4.650731125317825176e-01 4.265762411652431196e-01 2.752646633047168279e-01 2.679054960831739884e-01
4.680833259153758807e-01 4.238360585783730317e-01 2.682580028443323772e-01 2.623015564089722362e-01
4.710743041177262724e-01 4.211164444826989706e-01 2.613250811349102087e-01 2.566246051049003718e-01
4.740464112299554444e-01 4.184066409958521748e-01 2.544304803223372824e-01 2.509077322478777128e-01
4.770000000000000351e-01 4.157063202477161989e-01 2.475731136999576032e-01 2.451519580955597022e-01
4.799354123212831169e-01 4.130221697980869799e-01 2.407874019577757874e-01 2.393199029138189660e-01
