T Z1 Z2 Z3 Z4 Z5
5 1.28029079515714 30.9146669274085 67.8050422774344 1.54533408352995E-19 1E-38
5.05217301207786 1.14025640923934 29.114340321048 69.7454032697126 2.73325954841585E-19 1E-38
5.10489042879358 1.01535100218211 27.3951284903926 71.5895205074252 4.78865359532933E-19 1E-38
5.15815793079311 0.903424088955686 25.7465911510394 73.3499847600049 8.3374859549771E-19 1E-38
5.21198125799767 0.803291358193968 24.170760646981 75.0259479948251 1.44274684467362E-18 1E-38
5.26636621022229 0.713844847107855 22.668794582779 76.6173605701131 2.48154307001067E-18 1E-38
5.32131864780076 0.634053812704538 21.2410662896462 78.1248798976493 4.24299399808713E-18 1E-38
5.37684449221714 0.562964369923777 19.8872587966037 79.5497768334725 7.21245106388009E-18 1E-38
5.43294972674379 0.499698070945496 18.6064590639328 80.8938428651217 1.21896903944563E-17 1E-38
5.48964039708615 0.443449608512133 17.3972498255882 82.1593005658997 2.04851746339311E-17 1E-38
5.54692261203421 0.393483824564122 16.2577969778781 83.3487191975578 3.42341880491097E-17 1E-38
5.60480254412074 0.349132196172621 15.1859310097566 84.4649367940708 5.68968420062896E-17 1E-38
5.66328643028643 0.309788955971248 14.1792214725369 85.5109895714918 9.4049538146919E-17 1E-38
5.72238057255198 0.274906986109369 13.2350439202696 86.490049093621 1.54630922829057E-16 1E-38
5.78209133869716 0.243993604921823 12.3506391109365 87.4053672841417 2.52892651835741E-16 1E-38
5.84242516294699 0.216606345420662 11.5231645435379 88.2602291110415 4.11437145403159E-16 1E-38
5.90338854666508 0.192348805393467 10.7497386219029 89.0579125727037 6.65922568217685E-16 1E-38
5.96498805905417 0.170866631046192 10.0274778901264 89.8016554788274 1.07231103224513E-15 1E-38
6.02723033786404 0.151843680186186 9.35352788577973 90.4946284340341 1.7179751467773E-15 1E-38
6.09012209010673 0.134998397111403 8.72508821471135 91.1399133881772 2.73862624923067E-15 1.89670750439956E-38
6.15367009277929 0.120080419694842 8.13943247427009 91.7404871060351 4.34397893954907E-15 5.44282307947685E-38
6.21788119359404 0.106867429549102 7.59392364830721 92.2992089221437 6.85645448636421E-15 1.54516001917314E-37
6.28276231171647 0.0951622484660674 7.08602557448903 92.8188121770449 1.07692388546692E-14 4.33974968224671E-37
6.34832043851077 0.0848905560158583 6.61680706005607 93.298302383928 1.6734636177473E-14 1.18974390884325E-36
6.41456263829328 0.0758273598830656 6.18190126905297 93.7422713710639 2.57930191617928E-14 3.20237726386403E-36
6.48149604909366 0.067764700209322 5.77656362877382 94.1556716710168 3.96010379381337E-14 8.54671712922843E-36
6.54912788342406 0.0605903504488429 5.39886278027713 94.540546869274 6.05676560757609E-14 2.26175379546117E-35
6.61746542905633 0.0542046138981629 5.04697018768832 94.8988251984134 9.22816319792896E-14 5.93500346522574E-35
6.68651604980733 0.0485189734290978 4.71915911816155 95.2323219084092 1.40068273668117E-13 1.54431534610139E-34
6.75628718633242 0.0434548735411198 4.41380269492543 95.5427424315332 2.11798693976833E-13 3.98473404215792E-34
6.82678635692723 0.0389426248001706 4.12937122675596 95.8316861484436 3.19061259820409E-13 1.01957537994328E-33
6.89802115833782 0.0349204207754294 3.86442898771451 96.1006505915096 4.78850389030321E-13 2.58704308338496E-33
6.96999926657928 0.0313334578302493 3.61763059434839 96.3510359478206 7.15991184678248E-13 6.50967632750808E-33
7.04272843776287 0.0281331485118498 3.38771710378517 96.5841497477019 1.06660623277911E-12 1.62440041214412E-32
7.11621650893177 0.0252764197706981 3.17351193518432 96.8012116450434 1.58305213676136E-12 4.01985878320494E-32
7.19047139890561 0.0227250877882797 2.97391669868408 97.0033582135253 2.34091994915137E-12 9.86547717870912E-32
7.26550110913374 0.0204453017726847 2.78790700011009 97.1916476981138 3.44892146611766E-12 2.4011547191199E-31
7.34131372455745 0.0184070496732261 2.6145282760779 97.3670646742438 5.06279339541074E-12 5.79591090617289E-31
7.41791741448119 0.0165837193518132 2.45289170250202 97.5305245781388 7.40477136798153E-12 1.38748135875718E-30
7.49532043345286 0.0149517093181774 2.30217020969852 97.6828780809725 1.07907518662865E-11 3.29412873337206E-30
7.57353112215326 0.0134900836799914 2.16159462902181 97.8249152872825 1.56680195384184E-11 7.75649781033307E-30
7.65255790829489 0.0121802664720317 2.03044998911145 97.9573697443939 2.26674310608536E-11 1.81136483620644E-29
7.7324093075301 0.011005771007568 1.90807197415637 98.0809222548034 3.26752931570663E-11 4.19531458230199E-29
7.81309392436865 0.0099519603386087 1.79384355194507 98.1962044876694 4.69319518465976E-11 9.63705673831085E-29
7.89462045310496 0.00900583531920283 1.68719177571183 98.3038023889018 6.71664498392831E-11 2.19557513898492E-28
7.97699767875496 0.00816286239138595 1.58831558878789 98.4035215487253 9.54709134636345E-11 4.92448376168254E-28
8.06023447800272 0.00741269556250951 1.49679728892013 98.4957900153827 1.34653509978466E-10 1.08503519919534E-27
8.14433982015697 0.00673535807424357 1.41104852959079 98.5822161121456 1.8937484930448E-10 2.37510641078723E-27
8.22932276811762 0.00612347346365992 1.33068565724843 98.6631908690223 2.65574720225929E-10 5.16511783031856E-27
8.31519247935235 0.00557043714407446 1.25535115109896 98.7390784113856 3.71374976101931E-10 1.11593005101608E-26
8.40195820688335 0.00507033372645272 1.18471187207497 98.8102177936807 5.17847107997237E-10 2.39527197198333E-26
8.48962930028444 0.00461786331327264 1.11845741799014 98.8769247179766 7.20037175674796E-10 5.10781600681355E-26
8.5782152066885 0.00420827579148557 1.05629858059612 98.9394931426141 9.98329858717822E-10 1.08213025424231E-25
