idx;x [m];y [m];z [m];Reff [m]
0;-4.0815;4.6826;-0.4458;NaN
1;-4.0815;4.6826;-0.423;NaN
2;-4.0815;4.6826;-0.4003;NaN
3;-4.0815;4.6826;-0.3776;NaN
4;-4.0815;4.6826;-0.3548;NaN
5;-4.0815;4.6826;-0.3321;NaN
6;-4.0815;4.6826;-0.3094;NaN
7;-4.0815;4.6826;-0.2867;NaN
8;-4.0815;4.6826;-0.2639;NaN
9;-4.0815;4.6826;-0.2412;NaN
10;-4.0815;4.6826;-0.2185;NaN
11;-4.0815;4.6826;-0.1958;NaN
12;-4.0705;4.6654;-0.4458;NaN
13;-4.0705;4.6654;-0.423;NaN
14;-4.0705;4.6654;-0.4003;NaN
15;-4.0705;4.6654;-0.3776;NaN
16;-4.0705;4.6654;-0.3548;NaN
17;-4.0705;4.6654;-0.3321;NaN
18;-4.0705;4.6654;-0.3094;NaN
19;-4.0705;4.6654;-0.2867;NaN
20;-4.0705;4.6654;-0.2639;NaN
21;-4.0705;4.6654;-0.2412;NaN
22;-4.0705;4.6654;-0.2185;NaN
23;-4.0705;4.6654;-0.1958;NaN
24;-4.0594;4.6482;-0.4458;NaN
25;-4.0594;4.6482;-0.423;NaN
26;-4.0594;4.6482;-0.4003;NaN
27;-4.0594;4.6482;-0.3776;NaN
28;-4.0594;4.6482;-0.3548;NaN
29;-4.0594;4.6482;-0.3321;NaN
30;-4.0594;4.6482;-0.3094;NaN
31;-4.0594;4.6482;-0.2867;NaN
32;-4.0594;4.6482;-0.2639;NaN
33;-4.0594;4.6482;-0.2412;NaN
34;-4.0594;4.6482;-0.2185;NaN
35;-4.0594;4.6482;-0.1958;NaN
36;-4.0484;4.631;-0.4458;NaN
37;-4.0484;4.631;-0.423;NaN
38;-4.0484;4.631;-0.4003;NaN
39;-4.0484;4.631;-0.3776;NaN
40;-4.0484;4.631;-0.3548;NaN
41;-4.0484;4.631;-0.3321;NaN
42;-4.0484;4.631;-0.3094;NaN
43;-4.0484;4.631;-0.2867;NaN
44;-4.0484;4.631;-0.2639;NaN
45;-4.0484;4.631;-0.2412;NaN
46;-4.0484;4.631;-0.2185;NaN
47;-4.0484;4.631;-0.1958;NaN
48;-4.0373;4.6138;-0.4458;NaN
49;-4.0373;4.6138;-0.423;NaN
50;-4.0373;4.6138;-0.4003;NaN
51;-4.0373;4.6138;-0.3776;NaN
52;-4.0373;4.6138;-0.3548;NaN
53;-4.0373;4.6138;-0.3321;NaN
54;-4.0373;4.6138;-0.3094;NaN
55;-4.0373;4.6138;-0.2867;NaN
56;-4.0373;4.6138;-0.2639;NaN
57;-4.0373;4.6138;-0.2412;NaN
58;-4.0373;4.6138;-0.2185;NaN
59;-4.0373;4.6138;-0.1958;NaN
60;-4.0263;4.5966;-0.4458;NaN
61;-4.0263;4.5966;-0.423;NaN
62;-4.0263;4.5966;-0.4003;NaN
63;-4.0263;4.5966;-0.3776;NaN
64;-4.0263;4.5966;-0.3548;NaN
65;-4.0263;4.5966;-0.3321;NaN
66;-4.0263;4.5966;-0.3094;NaN
67;-4.0263;4.5966;-0.2867;NaN
68;-4.0263;4.5966;-0.2639;NaN
69;-4.0263;4.5966;-0.2412;NaN
70;-4.0263;4.5966;-0.2185;NaN
71;-4.0263;4.5966;-0.1958;NaN
72;-4.0152;4.5794;-0.4458;NaN
73;-4.0152;4.5794;-0.423;NaN
74;-4.0152;4.5794;-0.4003;NaN
75;-4.0152;4.5794;-0.3776;NaN
76;-4.0152;4.5794;-0.3548;NaN
77;-4.0152;4.5794;-0.3321;NaN
78;-4.0152;4.5794;-0.3094;NaN
79;-4.0152;4.5794;-0.2867;NaN
80;-4.0152;4.5794;-0.2639;NaN
81;-4.0152;4.5794;-0.2412;NaN
82;-4.0152;4.5794;-0.2185;NaN
83;-4.0152;4.5794;-0.1958;NaN
84;-4.0042;4.5621;-0.4458;NaN
85;-4.0042;4.5621;-0.423;NaN
86;-4.0042;4.5621;-0.4003;NaN
87;-4.0042;4.5621;-0.3776;NaN
88;-4.0042;4.5621;-0.3548;NaN
89;-4.0042;4.5621;-0.3321;NaN
90;-4.0042;4.5621;-0.3094;NaN
91;-4.0042;4.5621;-0.2867;NaN
92;-4.0042;4.5621;-0.2639;NaN
93;-4.0042;4.5621;-0.2412;NaN
94;-4.0042;4.5621;-0.2185;0.526
95;-4.0042;4.5621;-0.1958;0.514
96;-3.9931;4.5449;-0.4458;NaN
97;-3.9931;4.5449;-0.423;NaN
98;-3.9931;4.5449;-0.4003;NaN
99;-3.9931;4.5449;-0.3776;NaN
100;-3.9931;4.5449;-0.3548;NaN
101;-3.9931;4.5449;-0.3321;NaN
102;-3.9931;4.5449;-0.3094;NaN
103;-3.9931;4.5449;-0.2867;0.532
104;-3.9931;4.5449;-0.2639;0.518
105;-3.9931;4.5449;-0.2412;0.504
106;-3.9931;4.5449;-0.2185;0.491
107;-3.9931;4.5449;-0.1958;0.478
108;-3.9821;4.5277;-0.4458;NaN
109;-3.9821;4.5277;-0.423;NaN
110;-3.9821;4.5277;-0.4003;NaN
111;-3.9821;4.5277;-0.3776;NaN
112;-3.9821;4.5277;-0.3548;NaN
113;-3.9821;4.5277;-0.3321;0.529
114;-3.9821;4.5277;-0.3094;0.514
115;-3.9821;4.5277;-0.2867;0.498
116;-3.9821;4.5277;-0.2639;0.483
117;-3.9821;4.5277;-0.2412;0.469
118;-3.9821;4.5277;-0.2185;0.455
119;-3.9821;4.5277;-0.1958;0.442
120;-3.971;4.5105;-0.4458;NaN
121;-3.971;4.5105;-0.423;NaN
122;-3.971;4.5105;-0.4003;NaN
123;-3.971;4.5105;-0.3776;0.53
124;-3.971;4.5105;-0.3548;0.512
125;-3.971;4.5105;-0.3321;0.495
126;-3.971;4.5105;-0.3094;0.479
127;-3.971;4.5105;-0.2867;0.463
128;-3.971;4.5105;-0.2639;0.448
129;-3.971;4.5105;-0.2412;0.433
130;-3.971;4.5105;-0.2185;0.419
131;-3.971;4.5105;-0.1958;0.406
132;-3.96;4.4933;-0.4458;NaN
133;-3.96;4.4933;-0.423;0.533
134;-3.96;4.4933;-0.4003;0.515
135;-3.96;4.4933;-0.3776;0.496
136;-3.96;4.4933;-0.3548;0.478
137;-3.96;4.4933;-0.3321;0.461
138;-3.96;4.4933;-0.3094;0.444
139;-3.96;4.4933;-0.2867;0.428
