idx_sel_plas_points;plasma_x;plasma_y;plasma_z;total_intensity_fraction
15901;-3914.6;4735.8;-229.1;3.165058634028541e-06
17291;-3926.2;4782.4;-262.4;1.7859089399942015e-05
17293;-3926.2;4782.4;-229.1;1.7888688640441097e-05
17307;-3918.0;4769.6;-262.4;1.5159431950452588e-05
17309;-3918.0;4769.6;-229.1;1.1845909827375277e-05
17342;-3901.6;4744.1;-212.4;5.680472607469558e-06
17355;-3893.4;4731.3;-262.4;5.6862519593093195e-06
17356;-3893.4;4731.3;-245.8;8.088627064227565e-06
17373;-3885.2;4718.6;-229.1;1.5625880780333047e-06
17434;-3852.4;4667.5;-279.1;6.011848471850762e-06
17450;-3844.2;4654.7;-279.1;4.471714300236837e-06
17467;-3836.0;4642.0;-262.4;4.406330245645389e-06
17530;-3803.3;4590.9;-279.1;4.171594596504109e-06
17581;-3778.7;4552.6;-229.1;1.3400403986638787e-06
17596;-3770.5;4539.9;-245.8;1.3196989437754967e-06
18731;-3913.2;4790.7;-262.4;2.627367023762218e-05
18748;-3905.1;4777.9;-245.8;2.590203374278827e-05
18749;-3905.1;4777.9;-229.1;1.7281317851996015e-05
18763;-3896.9;4765.2;-262.4;2.5484369164475805e-05
18764;-3896.9;4765.2;-245.8;2.1351623496086235e-05
18765;-3896.9;4765.2;-229.1;1.701886457638382e-05
18779;-3888.7;4752.4;-262.4;2.026121918943722e-05
18781;-3888.7;4752.4;-229.1;1.5167949057671554e-05
18795;-3880.5;4739.6;-262.4;4.243683892912471e-06
18796;-3880.5;4739.6;-245.8;1.4928086047695819e-05
18812;-3872.3;4726.9;-245.8;1.4701963854709898e-05
18874;-3839.5;4675.8;-279.1;1.0871622957214522e-05
18891;-3831.3;4663.0;-262.4;1.0720128372726075e-05
18908;-3823.1;4650.3;-245.8;1.438753145542665e-05
18923;-3814.9;4637.5;-262.4;1.3459798484603845e-05
18924;-3814.9;4637.5;-245.8;1.3469961149667479e-05
18939;-3806.7;4624.8;-262.4;1.3259029136978569e-05
18940;-3806.7;4624.8;-245.8;1.3268549523895947e-05
18954;-3798.5;4612.0;-279.1;1.3051341560578404e-05
18970;-3790.3;4599.2;-279.1;1.0788893715102626e-05
18971;-3790.3;4599.2;-262.4;1.079675395897172e-05
18972;-3790.3;4599.2;-245.8;1.080250409437988e-05
18988;-3782.1;4586.5;-245.8;9.952978119444752e-06
19003;-3773.9;4573.7;-262.4;6.987121516586635e-06
19004;-3773.9;4573.7;-245.8;6.991961529138443e-06
19005;-3773.9;4573.7;-229.1;3.5528906805199e-06
19020;-3765.7;4560.9;-245.8;5.549194178960165e-06
19051;-3749.3;4535.4;-262.4;4.020636374628576e-06
19052;-3749.3;4535.4;-245.8;1.986671567461345e-06
19066;-3741.1;4522.6;-279.1;6.610408165865525e-06
19081;-3732.9;4509.9;-295.8;3.9451333291741235e-06
19114;-3716.6;4484.3;-279.1;3.833660452267585e-06
19178;-3683.8;4433.3;-279.1;3.648275820911334e-06
19179;-3683.8;4433.3;-262.4;3.6474423578414093e-06
19211;-3667.4;4407.8;-262.4;1.7864633865487341e-06
20171;-3900.3;4799.0;-262.4;3.7365422496693886e-05
