rho	3.0906000000000002	3.2906	3.4905999999999997	3.6906	3.8906	4.0906	4.2905999999999995	4.490600000000001	4.6906	4.8906	5.0906	5.2905999999999995	5.490600000000001	5.6906	5.8906	6.0906	6.2905999999999995	6.490600000000001	6.6906	6.8906	7.0906	7.2905999999999995	7.490600000000001	7.6906	7.8906	8.0056
0.0	6.12746e+19	6.770778e+19	7.212319e+19	8.143172e+19	9.220132e+19	9.430941e+19	1.0450956e+20	1.0809214e+20	1.1790347e+20	1.3298565e+20	1.4302236e+20	1.5171037e+20	1.5289955e+20	1.4503783e+20	1.3502375e+20	1.2220075e+20	1.15150885e+20	1.04387265e+20	1.0270315e+20	9.571945e+19	9.3630575e+19	9.429283e+19	8.66847e+19	8.507018e+19	8.591548e+19	8.249691e+19
0.01	6.131053e+19	6.7731275e+19	7.220267e+19	8.148259e+19	9.22588e+19	9.435623e+19	1.045636e+20	1.0815939e+20	1.1796345e+20	1.32972975e+20	1.4295298e+20	1.5162772e+20	1.5277334e+20	1.4499236e+20	1.3500034e+20	1.2228756e+20	1.1522272e+20	1.0455802e+20	1.02785285e+20	9.578042e+19	9.371853e+19	9.433682e+19	8.678696e+19	8.51502e+19	8.598674e+19	8.256907e+19
0.02	6.135099e+19	6.775541e+19	7.228837e+19	8.1532165e+19	9.230361e+19	9.439167e+19	1.0459303e+20	1.0820273e+20	1.1798696e+20	1.3290005e+20	1.4281269e+20	1.5146645e+20	1.5256433e+20	1.4488172e+20	1.3492704e+20	1.2235168e+20	1.1527958e+20	1.047364e+20	1.028684e+20	9.584727e+19	9.381297e+19	9.437804e+19	8.689632e+19	8.523956e+19	8.606498e+19	8.265358e+19
0.03	6.139528e+19	6.7779685e+19	7.237878e+19	8.157943e+19	9.233466e+19	9.4414835e+19	1.0459687e+20	1.08221015e+20	1.1797296e+20	1.3276675e+20	1.4260194e+20	1.5122711e+20	1.5227363e+20	1.4470622e+20	1.3480389e+20	1.22391495e+20	1.1532009e+20	1.0491923e+20	1.02950915e+20	9.591885e+19	9.391221e+19	9.44156e+19	8.701089e+19	8.5336695e+19	8.614874e+19	8.274903e+19
0.04	6.1442715e+19	6.7803592e+19	7.2472427e+19	8.162336e+19	9.235092e+19	9.442491e+19	1.0457424e+20	1.0821322e+20	1.1792058e+20	1.3257313e+20	1.4232136e+20	1.5091033e+20	1.519026e+20	1.444663e+20	1.3463104e+20	1.2240552e+20	1.1534292e+20	1.051035e+20	1.0303132e+20	9.599398e+19	9.401457e+19	9.444868e+19	8.71289e+19	8.544006e+19	8.623667e+19	8.2854015e+19
0.05	6.1492646e+19	6.782666e+19	7.2567904e+19	8.166303e+19	9.2351465e+19	9.442108e+19	1.0452443e+20	1.0817846e+20	1.178291e+20	1.3231941e+20	1.41971695e+20	1.5051697e+20	1.5145266e+20	1.4416254e+20	1.3440874e+20	1.22392366e+20	1.1534683e+20	1.0528635e+20	1.0310811e+20	9.607152e+19	9.411843e+19	9.447645e+19	8.724865e+19	8.554815e+19	8.63274e+19	8.296711e+19
0.06	6.154443e+19	6.7848404e+19	7.2663843e+19	8.169749e+19	9.233546e+19	9.440261e+19	1.0444682e+20	1.0811592e+20	1.1769794e+20	1.3200597e+20	1.4155387e+20	1.50048e+20	1.5092546e+20	1.4379567e+20	1.3413738e+20	1.22350795e+20	1.1533065e+20	1.0546506e+20	1.0317988e+20	9.615032e+19	9.422222e+19	9.4498125e+19	8.736856e+19	8.565953e+19	8.6419635e+19	8.308694e+19
0.07	6.159746e+19	6.7868376e+19	7.2758955e+19	8.1725855e+19	9.230215e+19	9.436883e+19	1.043409e+20	1.0802494e+20	1.1752666e+20	1.3163335e+20	1.41068925e+20	1.4950454e+20	1.5032275e+20	1.4336656e+20	1.338174e+20	1.222797e+20	1.1529328e+20	1.0563707e+20	1.0324523e+20	9.622928e+19	9.432442e+19	9.451294e+19	8.748711e+19	8.577279e+19	8.651213e+19	8.321211e+19
0.08	6.165114e+19	6.788612e+19	7.2851996e+19	8.174728e+19	9.22509e+19	9.431911e+19	1.042063e+20	1.0790493e+20	1.1731495e+20	1.3120222e+20	1.40518035e+20	1.4888784e+20	1.4964645e+20	1.4287619e+20	1.3344935e+20	1.2217807e+20	1.1523371e+20	1.0579996e+20	1.0330286e+20	9.6307305e+19	9.442356e+19	9.452016e+19	8.76029e+19	8.588659e+19	8.6603675e+19	8.334131e+19
