rho	3.0906000000000002	3.2906	3.4905999999999997	3.6906	3.8906	4.0906	4.2905999999999995	4.490600000000001	4.6906	4.8906	5.0906	5.2905999999999995	5.490600000000001	5.6906	5.8906	6.0906	6.2905999999999995	6.490600000000001	6.6906	6.8906	7.0906	7.2905999999999995	7.490600000000001	7.6906	7.8906	8.0056
0.17	1006.3414	931.6586	982.97925	1002.31964	1010.3116	963.0123	1001.1225	922.04333	884.00476	900.80725	837.89795	1061.9531	1342.3032	1370.9845	1328.7706	1422.5894	1450.0006	1490.9923	1395.2122	1372.4274	1248.8054	1255.3574	1253.9337	1221.4429	1204.6968	1291.9113
0.18	993.28107	921.2085	968.8164	991.7378	995.3303	952.4192	991.63275	912.8386	876.9411	892.6959	832.2818	1053.8866	1332.4656	1357.2715	1314.9755	1405.4114	1430.5135	1477.3724	1380.4276	1351.6863	1229.3435	1234.1697	1232.7653	1200.018	1187.0912	1271.3906
0.19	979.91	910.45807	954.2791	980.7821	980.04504	941.6419	981.3901	903.3009	869.5064	884.20886	826.3759	1045.5447	1321.7294	1342.9847	1300.424	1387.3121	1410.3197	1462.7825	1364.8693	1330.401	1209.3617	1212.4891	1211.0173	1178.1677	1168.8892	1250.8503
0.2	966.27576	899.4458	939.4751	969.47284	964.53107	930.7026	970.5001	893.46954	861.721	875.36053	820.1862	1036.9401	1310.14	1328.1721	1285.1576	1368.3448	1389.4812	1447.2643	1348.597	1308.6632	1188.9276	1190.3977	1188.7747	1156.0071	1150.1505	1230.3588
0.21	952.42224	888.20996	924.52094	957.83234	948.86365	919.623	959.06915	883.3823	853.6079	866.1658	813.7191	1028.0826	1297.7407	1312.8784	1269.2179	1348.5673	1368.0627	1430.8582	1331.6727	1286.5645	1168.1042	1167.9775	1166.1249	1133.6483	1130.9362	1209.9642
0.22	938.3894	876.788	909.5397	945.8846	933.1166	908.4244	947.1989	873.0756	845.1923	856.6403	806.9816	1018.9803	1284.5712	1297.1449	1252.6458	1328.0415	1346.1309	1413.6022	1314.1564	1264.1952	1146.9508	1145.312	1143.1582	1111.1976	1111.3064	1189.6953
0.23	924.213	865.21643	894.65625	933.65485	917.3616	897.1276	934.9827	862.5835	836.5008	846.80206	799.9812	1009.6383	1270.666	1281.0074	1235.4801	1306.8352	1323.7542	1395.5314	1296.1029	1241.6434	1125.5223	1122.4863	1119.9668	1088.7535	1091.3214	1169.5603
0.24	909.9251	853.5302	879.9912	921.16956	901.667	885.75323	922.5036	851.9379	827.5606	836.672	792.7261	1000.0603	1256.0542	1264.4966	1217.7584	1285.0217	1301.0023	1376.6775	1277.5587	1218.9938	1103.8708	1099.587	1096.6449	1066.404	1071.0402	1149.548
0.25	895.55396	841.7626	865.6525	908.45557	886.0964	874.3213	909.833	841.1686	818.3986	826.27527	785.225	990.2484	1240.758	1247.6366	1199.5162	1262.68	1277.9452	1357.0688	1258.5607	1196.3256	1082.0466	1076.7026	1073.287	1044.2262	1050.5205	1129.6301
0.26	881.1245	829.94495	851.7266	895.5401	870.70795	862.85156	897.03107	830.30255	809.0414	815.642	777.4875	980.2037	1224.7932	1230.4457	1180.7871	1239.8948	1254.652	1336.7308	1239.1353	1173.7119	1060.1	1053.9225	1049.9875	1022.2845	1029.8193	1109.7638
