rho	2.1451000000000002	2.2451	2.3451	2.4451	2.5450999999999997	2.6451000000000002	2.7451	2.8451	2.9451	3.0450999999999997	3.1451000000000002	3.2451	3.3451	3.4451	3.5450999999999997	3.6451000000000002	3.7451	3.8451	3.9451	4.0451	4.1451	4.2451	4.3451	4.4451	4.5451	4.6451	4.7451	4.8451	4.9451	5.0451	5.1451	5.2451	5.3451	5.4451	5.5451	5.6451	5.7451	5.8451	5.9451	6.0451	6.1451	6.2451	6.3451	6.4451	6.5451	6.6451	6.7451	6.8451	6.9451	7.0451	7.1101
0.0	4.902106135639602e+19	5.185991783106495e+19	5.550437495788087e+19	5.634561558553333e+19	5.704628583120733e+19	5.614789055217805e+19	6.131064115985255e+19	6.037933060445015e+19	5.886771031465693e+19	6.020056563376019e+19	6.141422560130963e+19	6.066288204857524e+19	6.14362514764253e+19	6.063869720035082e+19	6.053534764906996e+19	6.069777457576226e+19	6.191507123101663e+19	6.39759261911381e+19	6.181735427669654e+19	6.166107215805844e+19	6.2035482416139665e+19	6.170637572568252e+19	6.081415002440282e+19	6.236177678677719e+19	6.047480462651154e+19	5.943741479459736e+19	6.1555394257853645e+19	6.101533261350332e+19	6.131565535887319e+19	6.198995532666453e+19	6.236366720917117e+19	6.197470821018638e+19	6.154445155147082e+19	6.094726338275074e+19	6.13115767026876e+19	6.125625754133437e+19	5.915607423769863e+19	6.176435343067309e+19	6.088400904701061e+19	6.2531629010629304e+19	6.26925211062655e+19	6.207567984744521e+19	6.089227845429562e+19	6.198933475022544e+19	6.2887338325990154e+19	6.223629819584098e+19	6.1427265136549675e+19	6.05383016742398e+19	6.090048218751436e+19	6.211448889956795e+19	6.113955159462093e+19
0.01	4.906800708965771e+19	5.190485921965616e+19	5.557630125493792e+19	5.638364440398897e+19	5.712481217721997e+19	5.616980834845788e+19	6.136492809365855e+19	6.043049434516154e+19	5.88716061106201e+19	6.021504409874082e+19	6.148437402620435e+19	6.070421236072505e+19	6.150836975089737e+19	6.0641700342253986e+19	6.059772502616772e+19	6.072478304995827e+19	6.196958200614158e+19	6.3979589602574295e+19	6.189740651710094e+19	6.1692988807728054e+19	6.206860151700358e+19	6.17518848884498e+19	6.085349938673507e+19	6.239801265845636e+19	6.048602417208637e+19	5.947466978144817e+19	6.160005639971717e+19	6.104546368941697e+19	6.134695704154605e+19	6.204663692629581e+19	6.240565189439611e+19	6.202429404076421e+19	6.158381159537991e+19	6.098426251604616e+19	6.138619393921493e+19	6.128189947019565e+19	5.924403339720653e+19	6.182143326182685e+19	6.0927034964223754e+19	6.259879464279367e+19	6.273669191985392e+19	6.213697626047684e+19	6.091050111951064e+19	6.205449078903619e+19	6.296035839789878e+19	6.22985906317205e+19	6.1461747314463465e+19	6.058571191641464e+19	6.093396760304304e+19	6.214835447717416e+19	6.124848156296414e+19
0.02	4.913571424427967e+19	5.196953844656516e+19	5.5666234976529514e+19	5.643156187610337e+19	5.722299179703693e+19	5.619786613112146e+19	6.142061838942719e+19	6.049069284488266e+19	5.887963938329575e+19	6.023542496601704e+19	6.156998061859235e+19	6.075902590333584e+19	6.159820942588777e+19	6.0654773583674515e+19	6.068955656080779e+19	6.076872792725738e+19	6.2039210261840585e+19	6.397886664521273e+19	6.199712798232297e+19	6.174420946074901e+19	6.211480874442695e+19	6.1808869849289064e+19	6.090641849845207e+19	6.244610006769448e+19	6.050305734594312e+19	5.9533400407760314e+19	6.165022300734154e+19	6.108312776114289e+19	6.138789530871781e+19	6.211898384060414e+19	6.245996394707776e+19	6.208257547143266e+19	6.163451502427679e+19	6.103670581182592e+19	6.14863175595647e+19	6.13124601526619e+19	5.936075747151572e+19	6.189508721228464e+19	6.098657173429902e+19	6.267197695222361e+19	6.27909567979455e+19	6.221341294512456e+19	6.09436029013541e+19	6.213191991899269e+19	6.304692540620924e+19	6.237346173782518e+19	6.1505945296810746e+19	6.06508351078237e+19	6.09815858923392e+19	6.2190302904373576e+19	6.136311370110096e+19
0.03	4.922330907491332e+19	5.205305815023935e+19	5.577309463628482e+19	5.648866275490199e+19	5.733944704900604e+19	5.623168186224563e+19	6.147689483043651e+19	6.055893000160645e+19	5.889188474417676e+19	6.0261524803726205e+19	6.166971375224176e+19	6.082656161826255e+19	6.170418506621121e+19	6.067799954683893e+19	6.080958830842299e+19	6.0829223939202966e+19	6.212276063572957e+19	6.397384373503144e+19	6.211482741057392e+19	6.1814129038566425e+19	6.2173519216394715e+19	6.187637413217464e+19	6.097212772048565e+19	6.250539010811365e+19	6.052580417053585e+19	5.961286018608352e+19	6.170487695769307e+19	6.112786203920894e+19	6.143789755067926e+19	6.220607679010583e+19	6.252580480020257e+19	6.214864109335059e+19	6.169575158910418e+19	6.110391769957055e+19	6.161044220831203e+19	6.13474399911094e+19	5.950504130136899e+19	6.198434668207092e+19	6.106181940314396e+19	6.275009192517769e+19	6.285452628092561e+19	6.230390062007247e+19	6.099131259544336e+19	6.222021269572997e+19	6.3145638250888405e+19	6.245964329167071e+19	6.155919374764128e+19	6.073278191511248e+19	6.104281441663905e+19	6.2239735151796855e+19	6.148304450143096e+19
0.04	4.932984668725427e+19	5.215448928946747e+19	5.589577903435646e+19	5.655430039554127e+19	5.747280189825695e+19	5.627089218918234e+19	6.153306420751301e+19	6.063427227555118e+19	5.890842399609316e+19	6.029316056164669e+19	6.178224561676195e+19	6.090602735574665e+19	6.182472199310479e+19	6.071141295100935e+19	6.095649268253493e+19	6.0905817742628635e+19	6.221900263863763e+19	6.396464317573598e+19	6.224880767059907e+19	6.190204902637089e+19	6.2244112920768586e+19	6.195344726758561e+19	6.104984542498493e+19	6.2575212178316214e+19	6.05541680957755e+19	5.9712223506541306e+19	6.1763057805828145e+19	6.1179227627899585e+19	6.14964208686228e+19	6.230697024909058e+19	6.260238561494954e+19	6.2221638343824065e+19	6.176670088130519e+19	6.118518584241023e+19	6.1757028375777165e+19	6.138635453234967e+19	5.967558879799081e+19	6.208822689820343e+19	6.115193844076912e+19	6.283213875925641e+19	6.292661362943271e+19	6.240734243432155e+19	6.1053292291200205e+19	6.231801278125922e+19	6.3255140182801015e+19	6.255588228936929e+19	6.162081276977468e+19	6.0830623222276465e+19	6.111708209405929e+19	6.229605079908169e+19	6.160786777611716e+19
0.05	4.945431455380272e+19	5.227287401964652e+19	5.603316914903284e+19	5.6627881771165245e+19	5.76216855242215e+19	5.63151484637502e+19	6.158854927997225e+19	6.07158444835799e+19	5.8929340084348355e+19	6.033014664283843e+19	6.190625308016149e+19	6.0996601357433455e+19	6.195825863203803e+19	6.075499776008219e+19	6.112887090710053e+19	6.099798701798363e+19	6.232667460777185e+19	6.395141535505181e+19	6.239737186806775e+19	6.2007181122074575e+19	6.232593593684713e+19	6.203914578107692e+19	6.113878955904147e+19	6.265487435415378e+19	6.058805022953742e+19	5.983058933709463e+19	6.182385950832357e+19	6.123680558215117e+19	6.1562948131844915e+19	6.242069378173407e+19	6.268892553780665e+19	6.230076788969855e+19	6.184653134105883e+19	6.127976193143964e+19	6.1924503901667566e+19	6.142873133896658e+19	5.987102006048547e+19	6.220572529916084e+19	6.1256051073247805e+19	6.291719723829473e+19	6.30064335742148e+19	6.252263496689322e+19	6.112914196428883e+19	6.242401715147139e+19	6.337412124284914e+19	6.266094237513831e+19	6.169010934123257e+19	6.094339254507986e+19	6.120377102693469e+19	6.2358647185896645e+19	6.1737174126877925e+19
0.06	4.959563626060821e+19	5.2407228338050605e+19	5.618413000191689e+19	5.670886180557071e+19	5.778473507499639e+19	5.6364112713518645e+19	6.1642879532884615e+19	6.080282498967231e+19	5.89547114429242e+19	6.037229196714408e+19	6.204041838397939e+19	6.1097433747883745e+19	6.210324843942061e+19	6.080868498678115e+19	6.132525530250698e+19	6.110513993974663e+19	6.244448774877482e+19	6.393433126436027e+19	6.255882898313977e+19	6.2128651274100466e+19	6.241830182474654e+19	6.2132533838324605e+19	6.12381788130363e+19	6.2743663734946275e+19	6.06273438553355e+19	5.9966984633911984e+19	6.188642761109607e+19	6.130019269216505e+19	6.163698374369375e+19	6.254625328663906e+19	6.278464965082622e+19	6.238527779113228e+19	6.193439922337062e+19	6.13868625374581e+19	6.211126534937021e+19	6.147410687114776e+19	6.008987813195679e+19	6.233581978583875e+19	6.13732425504921e+19	6.300442444269882e+19	6.3093200971260985e+19	6.264866907815152e+19	6.121840387900136e+19	6.253697561267421e+19	6.3501319616462586e+19	6.277360506455723e+19	6.176637862682723e+19	6.107008813436447e+19	6.130221827730378e+19	6.242691845951065e+19	6.18705503646641e+19
0.07	4.9752675497670754e+19	5.25565445198992e+19	5.634751254963263e+19	5.679673725592485e+19	5.796059768864906e+19	5.641745363117803e+19	6.169568100749097e+19	6.0894440512821576e+19	5.898460675960003e+19	6.0419397054666015e+19	6.2183429765141275e+19	6.120764804920319e+19	6.225816151890843e+19	6.08723511190169e+19	6.154411145708806e+19	6.122661503819903e+19	6.2571130294925074e+19	6.391357539751766e+19	6.273149909126394e+19	6.226550409872113e+19	6.252049317425124e+19	6.223268361577339e+19	6.1347233435176e+19	6.284084679595523e+19	6.067192931443144e+19	6.0120367460109115e+19	6.1949956038037905e+19	6.136899710763928e+19	6.171804923493491e+19	6.268263219064362e+19	6.28887867198339e+19	6.247445756978822e+19	6.2029447595883905e+19	6.150567004962734e+19	6.231567934070805e+19	6.15220234336795e+19	6.033063537287516e+19	6.2477466915431735e+19	6.150256238278411e+19	6.309305095119983e+19	6.318612943941849e+19	6.278433068810633e+19	6.132056671850835e+19	6.265568976291851e+19	6.363552204457045e+19	6.289267084996961e+19	6.1848905197997646e+19	6.120967480508556e+19	6.141171778943735e+19	6.250025456501799e+19	6.200757887588379e+19
0.08	4.992424030405828e+19	5.271979336550783e+19	5.652215564643673e+19	5.689104035219068e+19	5.8147931896375706e+19	5.6474842641527366e+19	6.1746665466264945e+19	6.0989960743692935e+19	5.90190801689859e+19	6.047125115446915e+19	6.23339820863982e+19	6.1326342732128264e+19	6.242148602409501e+19	6.094581712506082e+19	6.1783840334906745e+19	6.136168146950067e+19	6.270527180297112e+19	6.388933906865698e+19	6.2913718211049546e+19	6.2416707667828425e+19	6.2631763302133785e+19	6.23386754585615e+19	6.1465175732295344e+19	6.294566977509226e+19	6.072166931035913e+19	6.0289629820299215e+19	6.2013683602787344e+19	6.14428339034612e+19	6.180567878915819e+19	6.282879262868644e+19	6.3000566835545014e+19	6.256763228721783e+19	6.213080543988378e+19	6.163533372557384e+19	6.253608393187143e+19	6.157202623340337e+19	6.059169944143429e+19	6.262960010406305e+19	6.164302557615691e+19	6.318237666821055e+19	6.328443004964205e+19	6.292850154957689e+19	6.143506937939632e+19	6.277901151809718e+19	6.377556342676539e+19	6.301696026447527e+19	6.193696419085467e+19	6.136108552837105e+19	6.153152245596787e+19	6.257804021652561e+19	6.214783693324047e+19
