T Z1 Z2 Z3 Z4 Z5 Z6
5 3.4537146584148 90.6483367895343 5.89209307008124 0.00585548196968904 9.6830645028321E-36 1E-38
5.05217301207786 3.264289319423 90.1711267035668 6.55703815478753 0.00754582222265327 2.84643830414177E-35 1E-38
5.10489042879358 3.08441018860311 89.6230698027567 7.28282724424554 0.00969276439464327 8.27548129832095E-35 1E-38
5.15815793079311 2.91350808515186 89.0012520632047 8.07283003889933 0.0124098127441122 2.3793953210166E-34 1E-38
5.21198125799767 2.75105528808862 88.3028615579745 8.93024743941494 0.015835714521903 6.76550436817522E-34 1E-38
5.26636621022229 2.59656374755429 87.5252554543548 9.85804158251894 0.0201392155719212 1.90226744614268E-33 1E-38
5.32131864780076 2.44958328093765 86.6660321383033 10.8588601034279 0.0255244773311697 5.28880754209913E-33 1E-38
5.37684449221714 2.30969973975119 85.7231072241404 11.9349558495585 0.0322371865498454 1.45390251922252E-32 1E-38
5.43294972674379 2.17653313265677 84.6947918177498 13.0881036752661 0.0405713743272741 3.95166842872619E-32 1E-38
5.48964039708615 2.05724384228936 83.6119235936308 14.280252936917 0.0505796271628949 1.03877706927039E-31 1E-38
5.54692261203421 1.94314129680817 82.4473968618637 15.5466199237584 0.0628419175697286 2.70124208323065E-31 1E-38
5.60480254412074 1.8334818269378 81.1981497871771 16.8905271160302 0.0778412698548964 6.95990728229088E-31 1E-38
5.66328643028643 1.72813295223529 79.8638913782179 18.3118516837566 0.0961239857902329 1.77671141194198E-30 1E-38
5.72238057255198 1.62697614876242 78.4449751100235 19.8097200166885 0.118328724525553 4.49344054332631E-30 1E-38
5.78209133869716 1.52990555195348 76.9424526899865 21.3824436168584 0.145198141201603 1.12581150779696E-29 1E-38
5.84242516294699 1.43682652027605 75.3581170131719 23.0274653361638 0.177591130388266 2.79417643015108E-29 1E-38
5.90338854666508 1.34765407630034 73.6945318272188 24.7413185699971 0.216495526483801 6.86944296706898E-29 1E-38
5.96498805905417 1.26231124943722 71.9550459128399 26.5196017615582 0.26304107616468 1.67281658565466E-28 1E-38
6.02723033786404 1.18072735188071 70.1437900291381 28.3569701579444 0.318512461036804 4.03473907454959E-28 1E-38
6.09012209010673 1.10283622563027 68.2656554632395 30.247146198351 0.384362112779227 9.63842311986222E-28 1E-38
6.15367009277929 1.02857450331225 66.3262537366946 32.1829492309512 0.462222529041898 2.28036848250212E-27 1E-38
6.21788119359404 0.957879928368534 64.3318578188281 34.1563444862204 0.553917766582921 5.34318038317939E-27 1E-38
6.28276231171647 0.890689780657014 62.2893260305901 36.1585104301124 0.661473758640452 1.23988069194648E-26 1E-38
6.34832043851077 0.82693945140904 60.2060106350495 38.1799228375674 0.78712707597403 2.84929214371712E-26 1E-38
6.41456263829328 0.76656120681705 58.0896538439071 40.210453224555 0.933331724720883 6.48433023464001E-26 1E-38
6.48149604909366 0.709483172506331 55.9482745684901 42.2394787105956 1.10276354840797 1.46137132644983E-25 1E-38
6.54912788342406 0.655628562212062 53.7900496633743 44.2559999989336 1.29832177547995 3.261532569236E-25 1E-38
6.61746542905633 0.604915163738726 51.6231936201461 46.2487639887829 1.52312722733226 7.20856592734335E-25 1E-38
6.68651604980733 0.557255084438328 49.4558406546485 48.206387585264 1.78051667564916 1.57777172494233E-24 1E-38
6.75628718633242 0.512554747757199 47.2959328988665 50.1174795398448 2.0740328135315 3.41988334738687E-24 1E-38
6.82678635692723 0.470715122584093 45.1511179816906 51.9707576101905 2.40740928553486 7.34100064574998E-24 1E-38
6.89802115833782 0.432134039521224 43.062573648363 53.724687343307 2.78060496880877 1.54260298466204E-23 1E-38
6.96999926657928 0.39624817029347 41.0100676659102 55.3940515866482 3.19963257714807 3.20222511367866E-23 1E-38
7.04272843776287 0.362773991022214 38.98774404357 56.9795894438167 3.66989252159114 6.59329574945919E-23 1E-38
7.11621650893177 0.331609856056274 37.0011461267585 58.4715738991733 4.19567011801191 1.34650693386954E-22 1E-38
7.19047139890561 0.302651957049785 35.0553294062351 59.8607138073548 4.78130482936028 2.72754752141093E-22 1E-38
7.26550110913374 0.275795080082984 33.1548399361151 61.1382269344059 5.43113804939598 5.48019427333148E-22 1E-38
7.34131372455745 0.250933369195431 31.3037041185494 62.2959098057228 6.14945270653236 1.0921477206601E-21 1E-38
7.41791741448119 0.227961071984711 29.5054287521459 63.3262054170983 6.94040475877103 2.15888797731096E-21 1E-38
7.49532043345286 0.206773246585935 27.7630099739548 64.2222698123305 7.80794696712872 4.23295001889586E-21 1E-38
7.57353112215326 0.187266413450119 26.0789495549625 64.9780383142924 8.7557457172949 8.23229620934147E-21 1E-38
7.65255790829489 0.169339139608524 24.4552769342911 65.5882918256563 9.78709210044407 1.58804816998397E-20 1E-38
7.7324093075301 0.152892547304476 22.8935753903146 66.048723112622 10.9048089497589 3.03858081670499E-20 1E-38
7.81309392436865 0.137830742797308 21.3950108366116 66.3560023838795 12.1111560367116 5.76688976355087E-20 1E-38
7.89462045310496 0.124061164646189 19.960361883374 66.5078408224233 13.4077361295565 1.08561393693925E-19 1E-38
7.97699767875496 0.111494853763786 18.5900500054349 66.5030500735346 14.7954050672667 2.02708195171581E-19 1E-38
8.06023447800272 0.100046649933908 17.2841688906546 66.3415950982639 16.2741893611476 3.75429927201376E-19 1E-38
8.14433982015697 0.0896353212944651 16.0425122912728 66.024637330407 17.8432150570257 6.8968105583751E-19 1E-38
8.22932276811762 0.0801836345092043 14.8645999508393 65.5545647858643 19.5006516287872 1.25669694560166E-18 1E-38
