T Z1 Z2 Z3 Z4 Z5 Z6 Z7 Z8
5 13.4678121810092 84.0960779334174 2.43597370248954 0.000136183081993174 1.83540244229574E-12 1.1275152003473E-22 1E-38 1E-38
5.05217301207786 12.6897784005803 84.5874016814155 2.72264204736787 0.000177870633341006 3.03379195474229E-12 2.50122467552186E-22 1E-38 1E-38
5.10489042879358 11.9595103000009 85.0056683434606 3.0345902340028 0.000231122530786437 4.97296888941506E-12 5.4808891471517E-22 1E-38 1E-38
5.15815793079311 11.2689958184384 85.3543492849982 3.37635547668545 0.000299419869833367 8.11223323910478E-12 1.19238786957469E-21 1E-38 1E-38
5.21198125799767 10.6162948231892 85.633257324979 3.75006110858793 0.000386743230772318 1.31693192412147E-11 2.57546568517663E-21 1E-38 1E-38
5.26636621022229 9.99950971520185 85.8421055784948 4.15788665891799 0.00049804736408978 2.12758286210865E-11 5.52290693072017E-21 1E-38 1E-38
5.32131864780076 9.41679467721598 85.9805114696543 4.6020543758907 0.000639477204794687 3.42066526487173E-11 1.17585588116501E-20 1E-38 1E-38
5.37684449221714 8.86636303010751 86.0480052089121 5.08481313528749 0.000818625638150035 5.47311991330589E-11 2.4855026789763E-20 1E-38 1E-38
5.43294972674379 8.34649290594144 86.0440426478325 5.60841960668024 0.00104483945865274 8.71480629074122E-11 5.21610400056895E-20 1E-38 1E-38
5.48964039708615 7.85553143562052 85.9680223866757 6.17511659702446 0.00132958054119862 1.38094319422458E-10 1.08679348609166E-19 1E-38 1E-38
5.54692261203421 7.39189763577816 85.8193069623216 6.78710855191848 0.00168684976400309 2.17763455148633E-10 2.24808329140287E-19 1E-38 1E-38
5.60480254412074 6.95408416476402 85.5972478844158 7.44653426882599 0.00213368165244141 3.41727623676026E-10 4.61675841639049E-19 1E-38 1E-38
5.66328643028643 6.54065810208828 85.3012142155684 8.15543696379776 0.00269071801193159 5.3364808984055E-10 9.41272051249971E-19 1E-38 1E-38
5.72238057255198 6.15026089022555 84.9306243072618 8.91573193274073 0.00338286894267669 8.29282871233412E-10 1.90519537374029E-18 1E-38 1E-38
5.78209133869716 5.7816075627715 84.4849802082374 9.72917215817529 0.00424006953340308 1.28237690936695E-9 3.82827042933823E-18 1E-38 1E-38
5.84242516294699 5.43348536900068 83.9639041591219 10.5973123297354 0.00529814016880378 1.97326668058445E-9 7.63653375379765E-18 1E-38 1E-38
5.90338854666508 5.10475189217179 83.367176479785 11.5214718673095 0.0065997577124066 3.02137338040275E-9 1.51220943246859E-17 1E-38 1E-38
5.96498805905417 4.79433274764822 82.6947740494666 12.5026976544768 0.00819554380516078 4.60323015365753E-9 2.97262935423111E-17 1E-38 1E-38
6.02723033786404 4.50121893712931 81.9469084802453 13.541727300525 0.0101452751219894 6.97833298708753E-9 5.80061134416607E-17 1E-38 1E-38
6.09012209010673 4.22446392702391 81.1240629990183 14.6389538447925 0.012519218639221 1.0525978302232E-8 1.12357490975546E-16 1E-38 1E-38
6.15367009277929 3.96318051217433 80.2270269893661 15.7943928898745 0.0153995927876476 1.57974252455939E-8 2.1603137601535E-16 1E-38 1E-38
6.21788119359404 3.7165375206197 79.2569271101087 17.0076531928609 0.0188821528213752 2.3589288696247E-8 4.12296650684861E-16 1E-38 1E-38
6.28276231171647 3.48375641068962 78.2152539090408 18.2779117493577 0.0230778958657458 3.50461448324548E-8 7.81039734130181E-16 1E-38 1E-38
6.34832043851077 3.26874043694935 77.1204657968858 19.582758220193 0.0280354944416336 5.15302352780734E-8 1.4563355991647E-15 1E-38 1E-38
6.41456263829328 3.06823341775125 75.9710301226472 20.9268417449196 0.0338946395228949 7.51590456136242E-8 2.68258175501813E-15 1E-38 1E-38
6.48149604909366 2.87820255038277 74.7578080005923 22.3231238930877 0.0408654467769908 1.0916026132675E-7 4.91126479772774E-15 1E-38 1E-38
6.54912788342406 2.69818609601679 73.4831669821166 23.7695133992803 0.0491333647144912 1.57871830998749E-7 8.9366594352058E-15 1E-38 1E-38
6.61746542905633 2.52774696365444 72.149860771029 25.2634825366205 0.0589095013460099 2.27350051614276E-7 1.61618883264222E-14 1E-38 1E-38
6.68651604980733 2.36647047773419 70.7610225409886 26.8020734556916 0.0704331995759145 3.2600964235452E-7 2.90495010050931E-14 1E-38 1E-38
6.75628718633242 2.21396222430495 69.3201508932604 28.3819117006834 0.0839747162651667 4.65486013722343E-7 5.18932366574207E-14 1E-38 1E-38
6.82678635692723 2.06984600241144 67.8310884667787 29.9992268810586 0.0998379879604362 6.61790793705761E-7 9.21309267237364E-14 1E-38 1E-38
6.89802115833782 1.93376190511183 66.2979934493464 31.649880244714 0.118363463975219 9.36852293015929E-7 1.62562789307236E-13 1E-38 1E-38
6.96999926657928 1.80536455157039 64.7253044772394 33.3293986652452 0.139930985386196 1.32055852328526E-6 2.85074043180981E-13 1E-38 1E-38
7.04272843776287 1.68432148798054 63.1176996383912 35.0330143336178 0.164962686557125 1.85345279712208E-6 4.96839666421552E-13 1E-38 1E-38
7.11621650893177 1.57031177077263 61.4800504996313 36.7557092453488 0.193925893974244 2.59027221367439E-6 8.60596452099703E-13 1E-38 1E-38
7.19047139890561 1.4630247407949 59.8173722499629 38.4922634092795 0.227335995392117 3.60456907081307E-6 1.48153397000454E-12 1E-38 1E-38
7.26550110913374 1.36215899211539 58.134771180328 40.2373055823961 0.265759250441688 4.99471629377581E-6 2.53488293975405E-12 1E-38 1E-38
7.34131372455745 1.26742153399472 56.4373907989094 41.9853652635999 0.309815511819234 6.89167243938956E-6 4.31067456709445E-12 1E-38 1E-38
