T Z1 Z2 Z3 Z4 Z5 Z6 Z7
5 6.53984900430749 89.5040388420652 3.95533847029059 0.000773682890629798 4.46090261245795E-10 1E-38 1E-38
5.05217301207786 6.22674481048298 89.436999326901 4.33524987709438 0.00100598480466702 7.17011956965762E-10 1E-38 1E-38
5.10489042879358 5.9307752483821 89.3241129294909 4.74380853796795 0.00130328301381054 1.14527633742163E-9 1E-38 1E-38
5.15815793079311 5.64838882370113 89.1651541012697 5.18477306048783 0.00168401271981277 1.82148244245201E-9 1E-38 1E-38
5.21198125799767 5.37890019105722 88.9589482943265 5.65998128863687 0.00217022309492812 2.88445365194968E-9 1E-38 1E-38
5.26636621022229 5.12165791372709 88.7042722617366 6.1712804368328 0.00278938315552955 4.54797861458779E-9 1E-38 1E-38
5.32131864780076 4.87604374169204 88.3998684487736 6.7205122058485 0.00357559654613914 7.13972193735401E-9 1E-38 1E-38
5.37684449221714 4.64147181215232 88.0444612119563 7.30949590872993 0.004571056001942 1.11594649779489E-8 1E-38 1E-38
5.43294972674379 4.41738778468104 87.6367748375341 7.94000958432211 0.00582777609697037 1.73658172034804E-8 1E-38 1E-38
5.48964039708615 4.20326792079294 87.1755532891465 8.61376911628128 0.0074096468746578 2.69046228038018E-8 1E-38 1E-38
5.54692261203421 3.99861811559539 86.6595815658534 9.3324054222711 0.00939485478201886 4.14980787778446E-8 1E-38 1E-38
5.60480254412074 3.80297288738288 86.0877084972026 10.0974398308936 0.0118787207992034 6.37217376125175E-8 1E-38 1E-38
5.66328643028643 3.61589432954842 85.4588707426386 10.9102578218619 0.0149770085430974 9.74079766245488E-8 1E-38 1E-38
5.72238057255198 3.43697102802613 84.7721176999865 11.7720813666008 0.0188297571562627 1.48230361069389E-7 1E-38 1E-38
5.78209133869716 3.26581694666213 84.0266369641244 12.6839401700085 0.0236056946598882 2.24545175719641E-7 1E-38 1E-38
5.84242516294699 3.10207028243462 83.2217799149395 13.646642177226 0.0295072868035302 3.3859630235097E-7 1E-38 1E-38
5.90338854666508 2.94539229231192 82.3570869563394 14.6607437692128 0.0367764739055881 5.08230241092785E-7 1E-38 1E-38
5.96498805905417 2.79546609373365 81.4323118789039 15.7265201246964 0.0457011433432192 7.59322829945016E-7 1E-38 1E-38
6.02723033786404 2.65199544120428 80.4474447813492 16.8439362704526 0.056622377801543 1.129192448694E-6 1E-38 1E-38
6.09012209010673 2.51470348226578 79.4027329639437 18.0126193737083 0.0699425087105805 1.67137164745888E-6 1E-38 1E-38
6.15367009277929 2.38333149711716 78.2986992037493 19.2318328468193 0.086133990077283 2.46223696779948E-6 1E-38 1E-38
6.21788119359404 2.25763762731453 77.1361568398769 20.500452832867 0.105749089778153 3.61016348522193E-6 1E-38 1E-38
6.28276231171647 2.13739560024079 75.9162211388945 21.8169476198033 0.129430372975136 5.2680862560107E-6 1E-38 1E-38
6.34832043851077 2.02486559865604 74.6514272816075 23.1659707990078 0.157728697363333 7.6233653056082E-6 1E-38 1E-38
6.41456263829328 1.91826255093892 73.3392440924104 24.5509751060075 0.191507290013145 1.09606300324293E-5 1E-38 1E-38
6.48149604909366 1.81587323457519 71.9749365428189 25.9773396855558 0.231834845539788 1.56915103318921E-5 1E-38 1E-38
6.54912788342406 1.71758210667209 70.5604867016693 27.4420881551086 0.279820668749288 2.23678007195976E-5 1E-38 1E-38
6.61746542905633 1.62327931898226 69.0981672847374 28.9417947496216 0.336726899826332 3.17468324448007E-5 1E-38 1E-38
6.68651604980733 1.53285986246504 67.5905301080514 30.4725827555087 0.403982411237267 4.48627376148757E-5 1E-38 1E-38
6.75628718633242 1.44622275044777 66.0403903126201 32.0301272751136 0.48319654145499 6.31203635518002E-5 1E-38 1E-38
6.82678635692723 1.36327025198949 64.4508066700419 33.609662347368 0.576172312322607 8.84182779759512E-5 1E-38 1E-38
6.89802115833782 1.28390718622703 62.8250584080712 35.2059923868534 0.684918709976488 0.000123308871828019 1.77531269737886E-38 1E-38
6.96999926657928 1.20804028721616 61.1666191111748 36.8135078572082 0.811661538976198 0.000171205424723211 5.69865981453042E-38 1E-38
7.04272843776287 1.13557764710706 59.4791283469079 38.4262050705929 0.958852287219151 0.000236648173017888 1.80745293447651E-37 1E-38
7.11621650893177 1.06642824347515 57.7663617388495 40.0377100061841 1.12917436756297 0.000325643928229568 5.66434126852686E-37 1E-38
7.19047139890561 1.00050155434941 56.0322002463693 41.6413060688236 1.32554603382156 0.000446096636139326 1.75392861594725E-36 1E-38
7.26550110913374 0.937707262038523 54.2805994176504 43.2299657630458 1.55111920783899 0.000608349426260097 5.36594926347164E-36 1E-38
7.34131372455745 0.877955044360658 52.515559353968 44.7963863339335 1.80927340560582 0.000825862132042011 1.6219798715764E-35 1E-38
7.41791741448119 0.821154449446985 50.7410960608729 46.3330295178998 2.103603919897 0.00111605188332973 4.84396163406136E-35 1E-38
7.49532043345286 0.767214848021389 48.9612147682192 47.8321656438996 2.43790341180033 0.00150132805945938 1.42923705928901E-34 1E-38
7.57353112215326 0.716045455058509 47.1798856802192 49.2859224164117 2.81613609184316 0.00201035646743844 4.16627612645379E-34 1E-38
7.65255790829489 0.6675554110746 45.4010224748302 50.6863387813201 3.24240374193502 0.00267959084011624 1.19984108571491E-33 1E-38
7.7324093075301 0.621653912076582 43.6284637159585 52.0254243087481 3.72090295087918 0.00355511233772999 3.41367988972336E-33 1E-38
7.81309392436865 0.578250376431054 41.8659571804214 53.2952245068317 4.25587311698974 0.00469481932608257 9.59481319565675E-33 1E-38
