# s, n_e, T_e
0.000000000000000000e+00 6.771019556355949219e+13 2.923992862326500131e+00
1.212121212121212120e-02 6.727191718787405469e+13 2.791383152491415220e+00
2.424242424242424240e-02 6.680338476928962500e+13 2.650817117828569547e+00
3.636363636363636187e-02 6.630841615368719531e+13 2.507052115384682089e+00
4.848484848484848481e-02 6.579212845343858594e+13 2.366803865909523186e+00
6.060606060606060774e-02 6.526089976970646094e+13 2.233926943630631268e+00
7.272727272727272374e-02 6.472070092599237500e+13 2.108935374336806223e+00
8.484848484848485362e-02 6.417661999091499219e+13 1.991193534912882201e+00
9.696969696969696961e-02 6.363292214300411719e+13 1.880094944515371402e+00
1.090909090909090856e-01 6.309307447596105469e+13 1.775270206298561249e+00
1.212121212121212155e-01 6.255958076937868750e+13 1.676610448802709818e+00
1.333333333333333315e-01 6.203400001455121094e+13 1.584089258371569331e+00
1.454545454545454475e-01 6.151811625445718750e+13 1.498239356688249257e+00
1.575757575757575635e-01 6.101242064439027344e+13 1.418872726039661192e+00
1.696969696969697072e-01 6.051718579891557031e+13 1.345805090508381152e+00
1.818181818181818232e-01 6.003282613373064062e+13 1.278932334137357518e+00
1.939393939393939392e-01 5.955939054605793750e+13 1.217968511307903068e+00
2.060606060606060552e-01 5.909574328058336719e+13 1.162036619756812161e+00
2.181818181818181712e-01 5.864322928397130469e+13 1.111522398851259918e+00
2.303030303030303150e-01 5.820041141773270312e+13 1.065441823712132363e+00
2.424242424242424310e-01 5.776669464752741406e+13 1.023247895109359984e+00
2.545454545454545192e-01 5.734180555220109375e+13 9.845258528456301006e-01
2.666666666666666630e-01 5.692621223054729688e+13 9.490657343477022501e-01
2.787878787878788067e-01 5.651901686044073438e+13 9.161566030257365378e-01
2.909090909090908950e-01 5.611961057923975781e+13 8.852629951381129070e-01
3.030303030303030387e-01 5.572771411100776562e+13 8.560078195356619624e-01
3.151515151515151270e-01 5.534306292839032031e+13 8.280792556238735225e-01
3.272727272727272707e-01 5.496541031686432031e+13 8.012378518753199286e-01
3.393939393939394145e-01 5.459452924151596875e+13 7.753127149280040209e-01
3.515151515151515027e-01 5.423021319268239062e+13 7.501900091033100182e-01
3.636363636363636465e-01 5.387227618620367188e+13 7.257982038613007836e-01
3.757575757575757347e-01 5.352055208653028125e+13 7.020938692187022045e-01
3.878787878787878785e-01 5.317489340826881250e+13 6.790502535825413410e-01
4.000000000000000222e-01 5.283516973566194531e+13 6.566493283461276587e-01
4.121212121212121104e-01 5.250126588170232031e+13 6.348769501476969612e-01
4.242424242424242542e-01 5.217307989060759375e+13 6.137203341936091627e-01
4.363636363636363424e-01 5.185052097055764844e+13 5.931669830994971138e-01
4.484848484848484862e-01 5.153350742893504688e+13 5.732043756395923673e-01
4.606060606060606299e-01 5.122196467050471875e+13 5.538199466697659723e-01
4.727272727272727182e-01 5.091582331034967969e+13 5.350011065871217442e-01
4.848484848484848619e-01 5.061550028892776562e+13 5.167844015720324258e-01
4.969696969696969502e-01 5.032106792783090625e+13 4.991677376198393468e-01
5.090909090909090384e-01 5.003198130033157031e+13 4.820856748508811629e-01
5.212121212121212377e-01 4.974818270895852344e+13 4.655217293521681232e-01
5.333333333333333259e-01 4.946961212734314062e+13 4.494578059152108396e-01
5.454545454545454142e-01 4.919620637330765625e+13 4.338744735595464475e-01
5.575757575757576134e-01 4.892853771653369531e+13 4.188055009877608703e-01
5.696969696969697017e-01 4.866700857023580469e+13 4.042568541653220326e-01
5.818181818181817899e-01 4.841058674108885156e+13 3.901167676649923699e-01
5.939393939393939892e-01 4.815919213057749219e+13 3.763604916444184267e-01
6.060606060606060774e-01 4.791273945445590625e+13 3.629646331128764114e-01
6.181818181818181657e-01 4.767263425575599219e+13 3.500011543579586992e-01
6.303030303030302539e-01 4.743808070175369531e+13 3.373875031165279315e-01
6.424242424242424532e-01 4.720832418607557812e+13 3.250614613413789211e-01
6.545454545454545414e-01 4.698325503007089844e+13 3.130066540274409892e-01
6.666666666666666297e-01 4.676437542297727344e+13 3.012918039652615620e-01
6.787878787878788289e-01 4.655097527320807031e+13 2.898624997324354413e-01
6.909090909090909172e-01 4.634201480735282031e+13 2.786588993001000714e-01
7.030303030303030054e-01 4.613736702108871094e+13 2.676713118729947549e-01
7.151515151515152047e-01 4.593963275708883594e+13 2.570215736998607281e-01
7.272727272727272929e-01 4.574608069050101562e+13 2.465739253583801860e-01
7.393939393939393812e-01 4.555648917771396875e+13 2.363177925712705574e-01
7.515151515151514694e-01 4.537242455354357812e+13 2.263293315680246776e-01
7.636363636363636687e-01 4.519326956288930469e+13 2.165823658109146399e-01
7.757575757575757569e-01 4.501764097677208594e+13 2.070115087362645878e-01
7.878787878787878451e-01 4.484655908105899219e+13 1.976708540587359675e-01
8.000000000000000444e-01 4.468046910358010938e+13 1.885940444982125430e-01
8.121212121212121327e-01 4.451740492719275000e+13 1.796831658235000517e-01
8.242424242424242209e-01 4.435827028946993750e+13 1.709924550279745270e-01
8.363636363636363091e-01 4.420360760525657812e+13 1.625719663687445471e-01
8.484848484848485084e-01 4.405142924785051562e+13 1.543106040051469008e-01
8.606060606060605966e-01 4.390281971542821875e+13 1.462864601244789897e-01
8.727272727272726849e-01 4.375767979540609375e+13 1.385219616289291023e-01
8.848484848484848841e-01 4.361447569391046094e+13 1.309118388646654529e-01
8.969696969696969724e-01 4.347455390943764062e+13 1.235861188087842011e-01
9.090909090909090606e-01 4.333682457018583594e+13 1.164883056020804830e-01
9.212121212121212599e-01 4.320051520775287500e+13 1.095405974078789424e-01
9.333333333333333481e-01 4.306700998809992188e+13 1.029599502713981901e-01
9.454545454545454364e-01 4.293444582054111719e+13 9.654633876124608938e-02
9.575757575757575246e-01 4.280315879511008594e+13 9.035941845825433416e-02
9.696969696969697239e-01 4.267305832893860156e+13 8.449959030562460838e-02
9.818181818181818121e-01 4.254336491226234375e+13 7.878890056791977570e-02
9.939393939393939004e-01 4.241425545928539062e+13 7.343562159389024901e-02
1.006060606060606100e+00 9.999999999999999547e-07 6.659792516839262155e-02
1.018181818181818077e+00 9.999999999999999547e-07 5.899550781163696161e-02
1.030303030303030276e+00 9.999999999999999547e-07 5.226093655549410993e-02
1.042424242424242475e+00 9.999999999999999547e-07 4.629514332477099869e-02
1.054545454545454453e+00 9.999999999999999547e-07 4.101036905806804828e-02
1.066666666666666652e+00 9.999999999999999547e-07 3.632887273899074176e-02
1.078787878787878851e+00 9.999999999999999547e-07 3.218178779657043104e-02
1.090909090909090828e+00 9.999999999999999547e-07 2.850810905211324797e-02
1.103030303030303028e+00 9.999999999999999547e-07 2.525379531008494979e-02
1.115151515151515227e+00 9.999999999999999547e-07 2.237097439180706429e-02
1.127272727272727204e+00 9.999999999999999547e-07 1.981723891770963489e-02
1.139393939393939403e+00 9.999999999999999547e-07 1.755502247883363245e-02
1.151515151515151603e+00 9.999999999999999547e-07 1.555104702083147730e-02
1.163636363636363580e+00 9.999999999999999547e-07 1.377583331127581884e-02
1.175757575757575779e+00 9.999999999999999547e-07 1.220326728906703101e-02
1.187878787878787978e+00 9.999999999999999547e-07 1.081021591677647047e-02
1.199999999999999956e+00 9.999999999999999547e-07 9.576186884968406268e-03
