# s, n_e, T_e
0.000000000000000000e+00 6.411446085766184375e+13 3.071552979965420871e+00
1.212121212121212120e-02 6.324257891838165625e+13 2.951270519937785775e+00
2.424242424242424240e-02 6.239459538021900781e+13 2.819527991026759217e+00
3.636363636363636187e-02 6.158187360166685938e+13 2.679413317501593728e+00
4.848484848484848481e-02 6.081173640435031250e+13 2.536382051953148586e+00
6.060606060606060774e-02 6.008667972953481250e+13 2.395602620027750262e+00
7.272727272727272374e-02 5.940606851405341406e+13 2.259704678765257935e+00
8.484848484848485362e-02 5.876808614413712500e+13 2.129721861238628833e+00
9.696969696969696961e-02 5.817038006290650000e+13 2.006150022009373313e+00
1.090909090909090856e-01 5.760938181489074219e+13 1.889310497196496241e+00
1.212121212121212155e-01 5.708089701082162500e+13 1.779467323495494302e+00
1.333333333333333315e-01 5.658062323666015625e+13 1.676741534071770623e+00
1.454545454545454475e-01 5.610668632500239844e+13 1.581773624331291428e+00
1.575757575757575635e-01 5.565477347682373438e+13 1.494290749385091432e+00
1.696969696969697072e-01 5.522186746053634375e+13 1.414004393579531449e+00
1.818181818181818232e-01 5.480568031140202344e+13 1.340700698198009411e+00
1.939393939393939392e-01 5.440401632289678125e+13 1.273963053164162806e+00
2.060606060606060552e-01 5.401372921953418750e+13 1.212735055949794249e+00
2.181818181818181712e-01 5.363479156584722656e+13 1.157352169406723474e+00
2.303030303030303150e-01 5.326454705050935938e+13 1.106692006242248949e+00
2.424242424242424310e-01 5.290158921902992969e+13 1.060141243887185558e+00
2.545454545454545192e-01 5.254498881978000000e+13 1.017257708250525194e+00
2.666666666666666630e-01 5.219438174307481250e+13 9.778507718659409376e-01
2.787878787878788067e-01 5.184864487798315625e+13 9.412248144948578421e-01
2.909090909090908950e-01 5.150703118242933594e+13 9.068755856485352096e-01
3.030303030303030387e-01 5.116909207615486719e+13 8.744656390355778353e-01
3.151515151515151270e-01 5.083446488770446875e+13 8.437147946256521314e-01
3.272727272727272707e-01 5.050286397665644531e+13 8.144014728293867966e-01
3.393939393939394145e-01 5.017407177049180469e+13 7.863572327632156744e-01
3.515151515151515027e-01 4.984792995684807031e+13 7.594570645265679154e-01
3.636363636363636465e-01 4.952433102699207812e+13 7.336083610221687534e-01
3.757575757575757347e-01 4.920321032060191406e+13 7.087408176203413568e-01
3.878787878787878785e-01 4.888453867730007812e+13 6.847984307792163161e-01
4.000000000000000222e-01 4.856831575864841406e+13 6.617338313192699939e-01
4.121212121212121104e-01 4.825456406709649219e+13 6.395046260229462209e-01
4.242424242424242542e-01 4.794332365692819531e+13 6.180712132606160925e-01
4.363636363636363424e-01 4.763464750743762500e+13 5.973955587595455308e-01
4.484848484848484862e-01 4.732859751081492969e+13 5.774405410405166750e-01
4.606060606060606299e-01 4.702524101653130469e+13 5.581696179251730561e-01
4.727272727272727182e-01 4.672464786997130469e+13 5.395466803301434133e-01
4.848484848484848619e-01 4.642715724261105469e+13 5.215878270544740403e-01
4.969696969696969502e-01 4.613295277912215625e+13 5.042609389255344743e-01
5.090909090909090384e-01 4.584185321546252344e+13 4.874723068723156860e-01
5.212121212121212377e-01 4.555393218121722656e+13 4.711847721183183291e-01
5.333333333333333259e-01 4.526925634813740625e+13 4.553625308804514771e-01
5.454545454545454142e-01 4.498788425487627344e+13 4.399715742367290017e-01
5.575757575757576134e-01 4.471030483334067969e+13 4.250249306178662811e-01
5.696969696969697017e-01 4.443694735461942969e+13 4.105111605487462567e-01
5.818181818181817899e-01 4.416722239936602344e+13 3.963300890492150730e-01
5.939393939393939892e-01 4.390116221442439062e+13 3.824592265555660786e-01
6.060606060606060774e-01 4.363878715813982031e+13 3.688788208435407334e-01
6.181818181818181657e-01 4.338129985417814062e+13 3.556498617702982257e-01
6.303030303030302539e-01 4.312824755003658594e+13 3.427129669185637328e-01
6.424242424242424532e-01 4.287912614903092969e+13 3.300227834591082376e-01
6.545454545454545414e-01 4.263391783599230469e+13 3.175704059034050175e-01
6.666666666666666297e-01 4.239403270988936719e+13 3.054278461350739549e-01
6.787878787878788289e-01 4.215904098429073438e+13 2.935586653931637757e-01
6.909090909090909172e-01 4.192811370658172656e+13 2.819119624501082999e-01
7.030303030303030054e-01 4.170119287974255469e+13 2.704819726316655126e-01
7.151515151515152047e-01 4.148095232283756250e+13 2.594043306004373273e-01
7.272727272727272929e-01 4.126492631792689844e+13 2.485442051131521168e-01
7.393939393939393812e-01 4.105294846649917188e+13 2.378917470957366276e-01
7.515151515151514694e-01 4.084679370610822656e+13 2.275342123114293957e-01
7.636363636363636687e-01 4.064606409596503906e+13 2.174470247891510388e-01
7.757575757575757569e-01 4.044933871074102344e+13 2.075579770422986414e-01
7.878787878787878451e-01 4.025790345353564844e+13 1.979290858630530225e-01
8.000000000000000444e-01 4.007261442351239844e+13 1.885996138533287680e-01
8.121212121212121327e-01 3.989120196433417188e+13 1.794584298912845211e-01
8.242424242424242209e-01 3.971494163009579688e+13 1.705670673427450434e-01
8.363636363636363091e-01 3.954497541939834375e+13 1.619812308086270303e-01
8.484848484848485084e-01 3.937868354702015625e+13 1.535746000083024754e-01
8.606060606060605966e-01 3.921784021703854688e+13 1.454344796981686116e-01
8.727272727272726849e-01 3.906282257896828906e+13 1.375835426304322373e-01
8.848484848484848841e-01 3.891121848664416406e+13 1.299037158402718273e-01
8.969696969696969724e-01 3.876579090980525781e+13 1.225372720345023342e-01
9.090909090909090606e-01 3.862511274325375781e+13 1.154188267259988743e-01
9.212121212121212599e-01 3.848755052576335938e+13 1.084635316306613306e-01
9.333333333333333481e-01 3.835727054408138281e+13 1.019019778444557878e-01
9.454545454545454364e-01 3.823012363770755469e+13 9.551673559267352676e-02
9.575757575757575246e-01 3.810722876210906250e+13 8.937077328046573454e-02
9.696969696969697239e-01 3.799010013199636719e+13 8.356389519479767714e-02
9.818181818181818121e-01 3.787552378834485156e+13 7.791023438229090214e-02
9.939393939393939004e-01 3.776683941396827344e+13 7.261969990565569910e-02
1.006060606060606100e+00 9.999999999999999547e-07 6.585951199017170410e-02
1.018181818181818077e+00 9.999999999999999547e-07 5.834138742704841896e-02
1.030303030303030276e+00 9.999999999999999547e-07 5.168148660774920383e-02
1.042424242424242475e+00 9.999999999999999547e-07 4.578183988728100340e-02
1.054545454545454453e+00 9.999999999999999547e-07 4.055566124427939512e-02
1.066666666666666652e+00 9.999999999999999547e-07 3.592607162600482129e-02
1.078787878787878851e+00 9.999999999999999547e-07 3.182496802857299328e-02
1.090909090909090828e+00 9.999999999999999547e-07 2.819202167616252988e-02
1.103030303030303028e+00 9.999999999999999547e-07 2.497379056204047931e-02
1.115151515151515227e+00 9.999999999999999547e-07 2.212293329655094787e-02
1.127272727272727204e+00 9.999999999999999547e-07 1.959751269747396149e-02
1.139393939393939403e+00 9.999999999999999547e-07 1.736037887830765847e-02
1.151515151515151603e+00 9.999999999999999547e-07 1.537862275947077771e-02
1.163636363636363580e+00 9.999999999999999547e-07 1.362309196336895269e-02
1.175757575757575779e+00 9.999999999999999547e-07 1.206796197195970227e-02
1.187878787878787978e+00 9.999999999999999547e-07 1.069035623838292086e-02
1.199999999999999956e+00 9.999999999999999547e-07 9.470009664355487009e-03
