# s, n_e, T_e
0.000000000000000000e+00 6.163558528612814062e+13 3.434187227742853565e+00
1.212121212121212120e-02 6.091314752365875781e+13 3.253296921944919706e+00
2.424242424242424240e-02 6.020895848099983594e+13 3.071059291298907201e+00
3.636363636363636187e-02 5.953189899188945312e+13 2.890071327376625199e+00
4.848484848484848481e-02 5.888767243710064062e+13 2.717256663229394409e+00
6.060606060606060774e-02 5.827814293702391406e+13 2.556713931428870712e+00
7.272727272727272374e-02 5.770264745633330469e+13 2.408562531171812626e+00
8.484848484848485362e-02 5.715952003425832812e+13 2.271437091168450717e+00
9.696969696969696961e-02 5.664660666098985938e+13 2.143951720575019149e+00
1.090909090909090856e-01 5.616078721703665625e+13 2.024934970407415324e+00
1.212121212121212155e-01 5.569848256914580469e+13 1.913530872044112652e+00
1.333333333333333315e-01 5.525610065167575781e+13 1.809086787280424380e+00
1.454545454545454475e-01 5.483177655351646094e+13 1.711666312361084463e+00
1.575757575757575635e-01 5.442199682474834375e+13 1.620698299234664796e+00
1.696969696969697072e-01 5.402427573371658594e+13 1.535804333458952842e+00
1.818181818181818232e-01 5.363662981339872656e+13 1.456781186112144466e+00
1.939393939393939392e-01 5.325724151572350000e+13 1.383341864087375805e+00
2.060606060606060552e-01 5.288389776028467969e+13 1.314698924133597790e+00
2.181818181818181712e-01 5.251610665503250781e+13 1.251336996768595888e+00
2.303030303030303150e-01 5.215216394665035938e+13 1.192460084163333489e+00
2.424242424242424310e-01 5.179111809878317188e+13 1.137710440909286191e+00
2.545454545454545192e-01 5.143231207341351562e+13 1.086880849752023925e+00
2.666666666666666630e-01 5.107532203005130469e+13 1.040054075455693061e+00
2.787878787878788067e-01 5.071957526621130469e+13 9.966880295373464760e-01
2.909090909090908950e-01 5.036471947644036719e+13 9.563593507363044033e-01
3.030303030303030387e-01 5.001054945710835938e+13 9.187739797660701146e-01
3.151515151515151270e-01 4.965693646538219531e+13 8.836458214650354526e-01
3.272727272727272707e-01 4.930381842916822656e+13 8.507110183022140726e-01
3.393939393939394145e-01 4.895119035514935156e+13 8.197374059904507515e-01
3.515151515151515027e-01 4.859909516352161719e+13 7.905281198428585343e-01
3.636363636363636465e-01 4.824761512044171094e+13 7.629202141123172520e-01
3.757575757575757347e-01 4.789686398342328125e+13 7.367801119778940588e-01
3.878787878787878785e-01 4.754697992349228906e+13 7.119977197115410217e-01
4.000000000000000222e-01 4.719811924288067969e+13 6.884805187751468214e-01
4.121212121212121104e-01 4.685045086996753906e+13 6.661483254255328168e-01
4.242424242424242542e-01 4.650415158502457812e+13 6.449289371052815412e-01
4.363636363636363424e-01 4.615940191148189844e+13 6.247546419413695373e-01
4.484848484848484862e-01 4.581638259772199219e+13 6.055595105157782765e-01
4.606060606060606299e-01 4.547527161317882031e+13 5.872774274425027752e-01
4.727272727272727182e-01 4.513624158868261719e+13 5.698408557467445901e-01
4.848484848484848619e-01 4.479968398797360938e+13 5.532422932829135220e-01
4.969696969696969502e-01 4.446588779425164844e+13 5.374002416379960456e-01
5.090909090909090384e-01 4.413481029558583594e+13 5.221604631986216383e-01
5.212121212121212377e-01 4.380660380260117969e+13 5.074395090673727848e-01
5.333333333333333259e-01 4.348140686444739844e+13 4.931570403993090768e-01
5.454545454545454142e-01 4.315934330308643750e+13 4.792377418745918938e-01
5.575757575757576134e-01 4.284095785572275000e+13 4.656373317659341926e-01
5.696969696969697017e-01 4.252676391311959375e+13 4.522792713431307843e-01
5.818181818181817899e-01 4.221623961374162500e+13 4.390640300789233619e-01
5.939393939393939892e-01 4.190945935860885938e+13 4.259556968753013817e-01
6.060606060606060774e-01 4.160647998082939844e+13 4.129259429355087718e-01
6.181818181818181657e-01 4.130860155226350781e+13 3.999639849858050988e-01
6.303030303030302539e-01 4.101540260618314844e+13 3.870462908795919144e-01
6.424242424242424532e-01 4.072637592005620312e+13 3.741668361413486577e-01
6.545454545454545414e-01 4.044151845431135156e+13 3.613265687915127033e-01
6.666666666666666297e-01 4.016236074720607812e+13 3.485480809321098161e-01
6.787878787878788289e-01 3.988846346629631250e+13 3.358427816720559456e-01
6.909090909090909172e-01 3.961894063574718750e+13 3.232087323432794590e-01
7.030303030303030054e-01 3.935373259388472656e+13 3.106508991528703079e-01
7.151515151515152047e-01 3.909571686831325781e+13 2.982473004836589947e-01
7.272727272727272929e-01 3.884222781477658594e+13 2.859581056885334149e-01
7.393939393939393812e-01 3.859308031499801562e+13 2.737838687652073832e-01
7.515151515151514694e-01 3.835015868873976562e+13 2.617902625438752739e-01
7.636363636363636687e-01 3.811299829012796094e+13 2.499850575395781149e-01
7.757575757575757569e-01 3.788006960270877344e+13 2.383266444646009730e-01
7.878787878787878451e-01 3.765270787861527344e+13 2.268710793588061825e-01
8.000000000000000444e-01 3.743173964713946875e+13 2.156735043745838798e-01
8.121212121212121327e-01 3.721476749376214844e+13 2.046479486170072193e-01
8.242424242424242209e-01 3.700307900696191406e+13 1.938579753897446689e-01
8.363636363636363091e-01 3.679773552049100781e+13 1.833807182722370088e-01
